"Buurten";"aantal mensen met een uitkering Participatiewet (Pw)|2018";"percentage mensen met een uitkering krachtens de Participatiewet|2018";"bevolking totaal|2018";"percentage minimahuishoudens|2018";"aantal minimahuishoudens|2018";"gemiddeld inkomen per persoon met inkomen|2018";"gemiddeld huishoudensinkomen|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal auto|2018";"aangiften diefstal fiets|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften diefstal af/uit auto|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"0807 Suikerfabriekterrein";"";"";5;"";"";"";"";0;0;0;0;0;0;0
"0808 Peizerweg";"";"";26;"";"";"";"";0;1;0;1;7;2;0
"0809 Bangeweer";"X";"X";276;8,7;10;27,8;39,6;4;1;0;0;0;2;1
"0810 De Buitenhof";"X";"X";1604;0,9;"X";45,2;63,8;7;0;2;0;1;6;2
"0811 Kranenburg";"";"";3;"";"";"";"";0;0;0;0;0;0;0
"0812 De Kring";54;25,8;331;56,7;60;15,9;25,2;1;0;0;0;0;1;0
"0900 Vinkhuizen-Noord";302;6,7;6119;20,2;510;20,0;28,8;17;1;20;3;5;30;14
"0901 Vinkhuizen-Zuid";426;14,6;4861;27,2;600;21,8;29,2;12;1;11;4;5;51;26
"0902 Hoendiep";"X";"X";130;"";"";26,4;"-";1;0;5;8;1;9;5
"0903 Friesestraatweg";"X";"";42;"";"";"";"";0;0;0;1;0;1;0
"0904 Reitdiep";"X";"X";2685;2,2;20;47,3;61,6;7;0;7;2;3;18;15
"0905 Dorkwerd";"X";"";83;"";"";"";"";0;0;0;0;0;1;1
"0906 De Held";18;1,0;2668;3,4;30;35,5;49,9;12;0;3;0;1;7;5
"0907 Westpark";"X";"X";34;"";"";"";"";0;0;0;0;0;0;0
"1000 Selwerd";487;11,0;6231;26,6;690;20,4;27,2;27;2;64;1;6;44;19
"1001 Paddepoel-Zuid";445;14,4;4614;28,5;570;24,5;31,0;13;2;41;2;15;40;5
"1002 Paddepoel-Noord";291;7,4;5897;25,0;680;22,9;27,8;29;0;31;5;8;31;16
"1003 Zernike Campus";"";"";10;"";"";"";"";1;0;8;2;0;5;2
"1004 Selwerderhof";"";"";5;"";"";"";"";0;0;0;0;0;0;0
"1005 Tuinwijk";122;9,5;1561;24,1;190;23,9;28,4;5;0;25;0;2;9;2
"1100 Beijum-West";313;7,1;6134;16,2;450;27,0;34,3;21;1;10;1;2;36;16
"1101 Beijum-Oost";654;14,2;6351;29,1;870;23,4;29,9;17;0;11;4;6;49;16
"1102 De Hunze";10;0,6;2495;1,9;20;36,3;49,6;15;2;5;2;3;7;2
"1103 Van Starkenborgh";"X";"X";946;1,6;"X";45,8;64,6;3;0;1;0;1;1;0
"1104 Noorderhoogebrug";"X";"X";284;8,5;10;33,7;48,3;2;0;1;1;1;3;0
"1105 Het Witte Lam";"X";"X";35;"";"";"";"";0;0;0;0;0;0;0
"1106 Koningslaagte";"X";"X";74;"";"";"";"";0;0;0;0;0;0;0
"1107 Hunzeboord";"";"";3;"";"";"";"";0;0;0;0;0;0;0
"1200 Lewenborg-Noord";279;12,5;3646;25,5;430;23,8;30,0;11;0;11;3;1;22;15
"1201 Lewenborg-Zuid";217;9,5;3501;18,7;280;25,1;33,8;5;0;13;2;3;24;8
"1202 Lewenborg-West";27;2,1;1853;5,1;40;28,1;39,1;5;1;12;0;0;18;6
"1203 Oosterhoogebrug";65;4,5;2235;11,8;130;30,8;39,1;8;3;5;4;2;11;5
"1204 Ulgersmaborg";48;3,3;2077;7,7;60;32,4;44,7;12;1;4;1;2;5;1
"1205 Hunzepark";"";"";"";"";"";"";"";1;0;3;0;5;2;1
"1206 Zilvermeer";"X";"";219;"";"";39,1;"-";1;0;3;0;5;2;1
"1207 Kardinge";"";"";2;"";"";"";"";1;0;3;0;5;2;1
"1208 Drielanden";"X";"X";970;2,6;10;35,6;49,8;3;0;1;0;1;1;0
"1209 Noorddijk";"";"";102;"";"";"";"";2;0;1;0;1;1;0
"1210 Ruischerbrug";"X";"X";480;7,0;14;30,5;41,8;3;0;1;0;1;1;0
"1211 Ruischerwaard";14;1,4;1366;2,9;15;34,6;50,5;2;0;1;0;1;1;0
"1300 Middelbert";"X";"";107;"";"";"";"";0;0;1;0;1;1;0
"1301 Engelbert";11;2,0;890;8,3;30;35,9;49,8;1;0;0;0;0;1;2
"1302 Klein Harkstede";"";"";61;"";"";"";"";0;0;0;0;0;0;0
"1400 Meeroevers";"";"";818;0,0;"X";46,0;62,1;1;0;0;1;2;2;0
"1401 Harkstede (GN)";"X";"X";218;"";"";32,2;"-";1;0;0;0;0;0;0
"1402 Lageland (GN)";"X";"";108;"";"";"";"";0;0;0;0;0;1;0
"1403 Groenewei";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1404 Tersluis";"";"";26;"";"";"";"";0;0;0;0;0;0;0
"1405 De Zeilen";"";"";4;"";"";"";"";"";"";"";"";"";"";""
"1406 De Wierden";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1500 Ten Boer";"";"";"";7,6;140;28,5;41,7;2;0;4;1;0;19;4
"1501 Buitengebied Ten Boer-Zuid";"";"";"";"";"";"";"";0;0;0;1;0;0;0
"1502 Garmerwolde";"";"";"";4,5;10;33,3;47,6;0;0;0;0;0;0;1
"1503 Thesinge";"";"";"";4,4;10;35,4;50,9;0;0;0;0;0;0;0
"1504 Sint-Annen";"";"";"";"";"";30,9;"-";0;0;0;0;0;0;0
"1505 Buitengebied Ten Boer-Noord";"";"";"";"";"";"";"";0;0;0;0;0;1;0
"1506 Bedrijventerrein Dijkshorn";"";"";"";"";"";"";"";0;0;1;0;0;0;0
"1600 Ten Post Dorp";"";"";"";5,3;15;30,6;41,8;1;0;0;0;0;2;0
"1601 Lellens";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1602 Woltersum";"";"";"";9,5;20;29,8;42,2;0;0;0;0;0;0;2
"1603 Winneweer";"";"";"";"";"";"";"";0;0;0;1;0;0;1
"1604 Wittewierum";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1605 Buitengebied ten Post";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1700 Haren-Centrum";"";"";"";7,8;70;35,6;42,7;8;5;5;6;2;0;6
"1701 Haren-Zuidwest";"";"";"";7,8;140;44,5;53,4;16;6;5;2;4;0;5
"1702 Haren-Zuidoost";"";"";"";7,8;140;40,1;50,3;16;6;5;2;4;0;5
"1703 Haren-Noord";"";"";"";6,2;40;48,2;58,3;4;8;0;6;1;0;3
"1704 Essen";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1705 Buitengebied Haren-Noordwest";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1706 Nesciopark";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1707 Paterswoldsemeer";"";"";"";"";"";38,8;"-";2;3;0;4;4;0;4
"1708 Buitengebied Haren-Zuidoost";"";"";"";"";"";54,7;132,0;2;1;0;0;1;0;0
"1709 Wolddeelen";"";"";"";"";"";"";"";0;0;0;0;0;0;0
