buurtcode,buurtnaam,wijkcode,inwoners_per_km2,perc_0_15_jaar,perc_15_25_jaar,perc_25_45_jaar,perc_45_65_jaar,perc_65_en_ouder,perc_ongehuwd,perc_gehuwd,perc_gescheid,perc_verweduwd,aantal_huishoudens,perc_eenpersoonshuishoudens,perc_huishoudens_z_kind,perc_huishoudens_met_kind,gemiddelde_huishoudsgrootte,perc_west_migratie,perc_niet_west_migratie,percentage_uit_marokko,perc_uit_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,perc_overige_nietwestersemigratie,bedrijven_landbouw,gemid_won_waarde,perc_eengezinswoning,perc_meergezinswoning,perc_koopwoningen,perc_huurwoningen,perc_huurwoning_van_corporaties,perc_huurwoning_van_verhuurder,perc_werknemers,perc_zelfstandigen,gemiddeld_inkomen_per_inwoner,perc_huishoud_laag_inkomen,perc_huishoud_hoog_inkomen,personen_met_bijstandsuitkering,gewelds_misdrijven,autos_totaal,autos_per_huishouden,motortweewielers,bevolking_totaal,percentage_minimahuishoudens,aantal_minimahuishoudens,gemiddeld_huishoudensinkomen,diefstal_af_uit_woning,diefstal_auto,diefstal_fiets,diefstal_af_uit_bedrijf,diefstal_af_uit_auto,aangiften_van_vernieling,aangiften_van_mishandeling,dogs_amount,politie_report_aantal
BU000200,Oranjebuurt,WK001402,10697.0,10.0,26.0,28.0,23.0,13.0,72.0,19.0,7.0,2.0,1755.0,61.0,23.0,16.0,1.6,14.0,10.0,0.0,1.0,1.0,0.0,7.0,0.0,203.0,22.0,78.0,40.0,59.0,34.0,26.0,85.0,15.0,26.0,59.0,14.0,140.0,2.0,810.0,0.5,65.0,2802.0,17.4,230,38.4,4.0,0.0,23.0,1.0,3.0,13.0,2.0,80,46.0
BU000201,Noorderplantsoenbuurt,WK001402,15454.0,8.0,33.0,33.0,20.0,6.0,82.0,12.0,5.0,1.0,2690.0,71.0,18.0,10.0,1.4,16.0,7.0,0.0,1.0,1.0,0.0,5.0,0.0,179.0,39.0,61.0,45.0,53.0,15.0,38.0,86.0,14.0,25.0,65.0,10.0,120.0,4.0,985.0,0.4,105.0,3868.0,13.1,220,34.7,6.0,0.0,35.0,1.0,5.0,20.0,2.0,77,69.0
BU000202,Schildersbuurt,WK001402,15809.0,5.0,45.0,28.0,14.0,8.0,82.0,13.0,4.0,1.0,4305.0,77.0,17.0,6.0,1.3,16.0,9.0,0.0,1.0,1.0,0.0,7.0,0.0,206.0,28.0,72.0,40.0,59.0,10.0,49.0,87.0,13.0,23.0,72.0,9.0,120.0,4.0,1250.0,0.3,85.0,5764.0,11.4,240,37.1,36.0,1.0,52.0,7.0,15.0,34.0,18.0,66,163.0
BU000203,Kostverloren,WK001402,9058.0,7.0,25.0,37.0,20.0,11.0,76.0,14.0,7.0,3.0,1555.0,67.0,22.0,12.0,1.4,11.0,13.0,1.0,1.0,2.0,1.0,8.0,0.0,141.0,13.0,87.0,25.0,74.0,54.0,21.0,89.0,11.0,21.0,73.0,5.0,210.0,7.0,615.0,0.4,55.0,2246.0,26.6,320,28.1,7.0,0.0,6.0,4.0,2.0,9.0,6.0,74,34.0
BU000300,De Hoogte,WK001403,7289.0,14.0,18.0,45.0,17.0,6.0,78.0,13.0,8.0,2.0,2515.0,61.0,20.0,19.0,1.6,11.0,25.0,2.0,4.0,5.0,1.0,14.0,0.0,124.0,24.0,76.0,9.0,91.0,73.0,18.0,91.0,9.0,18.0,77.0,3.0,620.0,13.0,1005.0,0.4,75.0,4020.0,33.4,700,25.3,11.0,0.0,36.0,2.0,11.0,30.0,24.0,165,114.0
BU000301,Indische buurt,WK001403,12183.0,10.0,28.0,36.0,17.0,8.0,79.0,12.0,7.0,2.0,5890.0,72.0,16.0,12.0,1.4,12.0,19.0,1.0,4.0,2.0,1.0,11.0,0.0,126.0,12.0,88.0,16.0,84.0,64.0,20.0,89.0,11.0,18.0,80.0,3.0,990.0,7.0,1795.0,0.3,175.0,8440.0,31.7,1300,25.6,24.0,1.0,93.0,5.0,15.0,37.0,24.0,241,199.0
BU000302,Professorenbuurt,WK001403,11570.0,7.0,42.0,34.0,12.0,5.0,84.0,11.0,4.0,1.0,4385.0,72.0,19.0,8.0,1.4,14.0,9.0,0.0,2.0,1.0,0.0,5.0,0.0,156.0,15.0,85.0,32.0,66.0,18.0,48.0,91.0,9.0,21.0,72.0,7.0,190.0,4.0,1385.0,0.3,140.0,6149.0,13.7,330,33.0,21.0,2.0,98.0,2.0,13.0,23.0,17.0,103,176.0
BU000400,Gorechtbuurt,WK001404,13056.0,7.0,31.0,39.0,14.0,8.0,80.0,12.0,6.0,2.0,3475.0,71.0,21.0,9.0,1.4,13.0,11.0,1.0,1.0,1.0,1.0,7.0,0.0,143.0,11.0,89.0,27.0,72.0,33.0,39.0,91.0,9.0,23.0,73.0,7.0,270.0,7.0,1190.0,0.3,95.0,4925.0,19.6,450,30.7,8.0,0.0,146.0,4.0,10.0,32.0,18.0,112,218.0
BU000401,Vogelbuurt,WK001404,6576.0,17.0,12.0,36.0,24.0,11.0,66.0,19.0,11.0,4.0,1440.0,66.0,13.0,21.0,1.6,13.0,21.0,1.0,3.0,3.0,2.0,12.0,0.0,127.0,16.0,84.0,9.0,89.0,86.0,3.0,88.0,12.0,19.0,78.0,6.0,320.0,13.0,535.0,0.4,45.0,2309.0,37.7,450,26.0,7.0,1.0,18.0,0.0,11.0,17.0,15.0,97,69.0
BU000402,Bloemenbuurt,WK001404,12405.0,14.0,14.0,42.0,23.0,7.0,75.0,12.0,10.0,2.0,1870.0,64.0,17.0,19.0,1.5,10.0,20.0,1.0,3.0,3.0,2.0,12.0,0.0,130.0,40.0,60.0,21.0,79.0,69.0,10.0,90.0,10.0,19.0,77.0,2.0,410.0,9.0,760.0,0.4,75.0,2893.0,34.6,550,24.9,7.0,0.0,10.0,1.0,3.0,12.0,11.0,173,44.0
BU000403,Florabuurt,WK001404,4736.0,11.0,18.0,40.0,22.0,8.0,73.0,17.0,7.0,3.0,755.0,61.0,20.0,18.0,1.6,10.0,14.0,1.0,2.0,1.0,1.0,9.0,0.0,137.0,20.0,80.0,45.0,55.0,34.0,21.0,90.0,10.0,24.0,62.0,7.0,110.0,4.0,375.0,0.5,30.0,1190.0,21.7,130,30.6,5.0,0.0,7.0,0.0,3.0,9.0,4.0,38,28.0
