buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buurten,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,jrstatcode,jaar
BU00140505,Driebond,WK001405,GM0014,Groningen,1,NEE,9723,1,401,5,17,15,15,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,15,86,14,0,1.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,96,91,4,2022BU00140505,2022
BU00140300,De Hoogte,WK001403,GM0014,Groningen,1,NEE,9716,1,5230,1,7406,4085,2085,2000,13,18,45,17,6,80,12,7,1,2715,67,17,16,1.5,12,27,2,4,4,2,15,57,55,2,2022BU00140300,2022
BU00141906,Zuidlaardermeer,WK001419,GM0014,Groningen,1,NEE,9479,1,33,5,-99999999,5,0,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,259,115,144,2022BU00141906,2022
BU00140806,Gravenburg,WK001408,GM0014,Groningen,1,NEE,9746,1,476,5,1460,2200,1130,1075,22,17,19,37,6,55,40,4,1,720,10,24,66,3.1,7,8,1,1,2,0,3,154,151,3,2022BU00140806,2022
BU00140108,Stadspark,WK001401,GM0014,Groningen,1,NEE,9727,1,2220,2,14,15,15,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,20,88,6,6,1.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,139,129,10,2022BU00140108,2022
BU00141908,Appelbergen Glimmen,WK001419,GM0014,Groningen,1,NEE,9756,1,123,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,33,33,0,2022BU00141908,2022
BU00140400,Gorechtbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,5320,1,12416,4680,2250,2425,7,28,42,15,9,80,12,6,2,3220,67,24,9,1.5,15,12,1,1,1,1,8,38,38,1,2022BU00140400,2022
BU00141904,Buitengebied Onnen,WK001419,GM0014,Groningen,1,NEE,9755,1,162,5,22,265,125,140,13,14,13,32,28,40,55,2,3,105,20,41,40,2.5,7,1,-99999999,-99999999,-99999999,-99999999,-99999999,1262,1231,31,2022BU00141904,2022
BU00141402,Lageland GN,WK001414,GM0014,Groningen,1,NEE,9622,1,69,5,13,75,45,35,23,10,14,37,15,67,26,5,3,30,17,40,43,2.6,6,1,-99999999,-99999999,-99999999,-99999999,-99999999,613,579,34,2022BU00141402,2022
BU00140604,Helpman,WK001406,GM0014,Groningen,1,NEE,9722,5,3318,1,10113,5935,2925,3005,10,19,38,21,13,72,17,8,2,3875,66,20,14,1.5,15,8,0,1,1,0,6,59,59,1,2022BU00140604,2022
