SCHOOL_ID,DATUM,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
018YZ_2017,2017,RK BS De Bolderik,4273ET,HANK,870,Werkendam,Noord-Brabant,Bo,Rooms-Katholiek,41978,CET,25,537.96
018ZA_2017,2017,Prins Bernhardschool,6883ES,VELP GLD,275,Rheden,Gelderland,Bo,Protestants-Christelijk,40843,CET,16,541.5625
018ZC_2017,2017,RK Basissch 't Startblok,2675BR,HONSELERSDIJK,1783,Westland,Zuid-Holland,Bo,Rooms-Katholiek,20671,CET,51,535.56862745098
018ZG_2017,2017,OBS Mistecorle,7109BN,WINTERSWIJK MISTE,294,Winterswijk,Gelderland,Bo,Openbaar,41494,IEP,6,87.1051752627454
018ZH_2017,2017,Samsam,3076GE,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,18,530.833333333333
018ZI_2017,2017,Obs De Jagersplas,1509GE,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,34,528.794117647059
018ZL_2017,2017,Wereldwijs,1103RP,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41716,IEP,35,78.5232281934501
018ZM_2017,2017,Ericaschool,6731BA,OTTERLO,228,Ede,Gelderland,Bo,Openbaar,41674,CET,19,537.894736842105
018ZO_2017,2017,RK Basissch. De Peppel,4271AP,DUSSEN,870,Werkendam,Noord-Brabant,Bo,Rooms-Katholiek,41978,CET,24,541.75
018ZQ_2017,2017,RK BS Bernadette,2673BK,NAALDWIJK,1783,Westland,Zuid-Holland,Bo,Rooms-Katholiek,20671,CET,50,538.4
018ZU_2017,2017,De Schalm,3072NS,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,19,536.263157894737
018ZV_2017,2017,OBS Over De Brug,1506HK,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,44,531.386363636364
018ZW_2017,2017,De Driehoek,3328KG,DORDRECHT,505,Dordrecht,Zuid-Holland,Bo,Openbaar,41518,CET,16,537.375
018ZX_2017,2017,Joop Westerweel Sch,1057VS,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41663,CET,43,524.558139534884
019AB_2017,2017,De Arnhorst,6881NV,VELP GLD,275,Rheden,Gelderland,Bo,Protestants-Christelijk,40843,CET,23,541.217391304348
019AC_2017,2017,RK Basissch Joannes,2671ZZ,NAALDWIJK,1783,Westland,Zuid-Holland,Bo,Rooms-Katholiek,20671,CET,26,536.576923076923
019AF_2017,2017,Nelson Mandela,3072XS,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,30,532.2
