BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LJ8_13;ZIT_13;ZITPERC_13;ZITPERC_LJ_13;LJ8_14;ZIT_14;ZITPERC_14;ZITPERC_LJ_14;LJ8_15;ZIT_15;ZITPERC_15;ZITPERC_LJ_15;LJ8_16;ZIT_16;ZITPERC_16;ZITPERC_LJ_16;LJ8_17;ZIT_17;ZITPERC_17;ZITPERC_LJ_17;LJ8_18;ZIT_18;ZITPERC_18;ZITPERC_LJ_18;LJ8_19;ZIT_19;ZITPERC_19;ZITPERC_LJ_19
10IJ;00;CBS De Regenboog;2983AT;RIDDERKERK; 597;Ridderkerk;Zuid-Holland;Bo;Protestants-Christelijk;37949;39;3;,0769230769230769;,00961538461538462;30;5;,166666666666667;,0208333333333333;25;5;,2;,025;20;3;,15;,01875;33;8;,242424242424242;,0303030303030303;32;8;,25;,03125;33;4;,121212121212121;,0151515151515152
10IK;00;De Stapstien;9298PT;KOLLUMERZWAAG;1970;Noardeast-Frysl‘n;Friesland;Bo;Protestants-Christelijk;40788;33;5;,151515151515152;,0189393939393939;41;4;,0975609756097561;,0121951219512195;38;7;,184210526315789;,0230263157894737;39;8;,205128205128205;,0256410256410256;46;10;,217391304347826;,0271739130434783;25;0;0;0;32;5;,15625;,01953125
10IL;00;Het Stroomdal;9471SH;ZUIDLAREN;1730;Tynaarlo;Drenthe;Bo;Protestants-Christelijk;32073;22;3;,136363636363636;,0170454545454545;17;4;,235294117647059;,0294117647058824;11;1;,0909090909090909;,0113636363636364;10;0;0;0;31;3;,0967741935483871;,0120967741935484;6;2;,333333333333333;,0416666666666667;14;4;,285714285714286;,0357142857142857
10IM;00;De Wijngaard;8064CT;ZWARTSLUIS;1896;Zwartewaterland;Overijssel;Bo;Protestants-Christelijk;41270;29;2;,0689655172413793;,00862068965517241;36;2;,0555555555555556;,00694444444444444;35;0;0;0;34;0;0;0;29;1;,0344827586206897;,00431034482758621;25;3;,12;,015;21;0;0;0
10IU;00;bs Talentrijk;5709BA;HELMOND; 794;Helmond;Noord-Brabant;Bo;Rooms-Katholiek;30240;11;0;0;0;14;4;,285714285714286;,0357142857142857;41;3;,0731707317073171;,00914634146341463;24;6;,25;,03125;46;10;,217391304347826;,0271739130434783;47;5;,106382978723404;,0132978723404255;30;6;,2;,025
10IW;00;Basisschool De Torenberg;4543CX;ZAAMSLAG; 715;Terneuzen;Zeeland;Bo;Protestants-Christelijk;41241;13;0;0;0;21;1;,0476190476190476;,00595238095238095;10;1;,1;,0125;18;2;,111111111111111;,0138888888888889;7;0;0;0;9;1;,111111111111111;,0138888888888889;11;1;,0909090909090909;,0113636363636364
10IY;00;PC Basisschool De Palm;7916PT;ELIM; 118;Hoogeveen;Drenthe;Bo;Protestants-Christelijk;69877;20;4;,2;,025;26;3;,115384615384615;,0144230769230769;17;1;,0588235294117647;,00735294117647059;21;5;,238095238095238;,0297619047619048;12;1;,0833333333333333;,0104166666666667;14;0;0;0;18;3;,166666666666667;,0208333333333333
10JF;00;BS De Dromenvanger;5156CJ;OUDHEUSDEN; 797;Heusden;Noord-Brabant;Bo;Samenwerking Opb., RK;78222;33;7;,212121212121212;,0265151515151515;21;4;,19047619047619;,0238095238095238;32;7;,21875;,02734375;32;2;,0625;,0078125;19;3;,157894736842105;,0197368421052632;22;2;,0909090909090909;,0113636363636364;25;3;,12;,015
10JH;00;Bs De Nieuwe Weg;2685WB;POELDIJK;1783;Westland;Zuid-Holland;Bo;Rooms-Katholiek;20671;30;5;,166666666666667;,0208333333333333;27;4;,148148148148148;,0185185185185185;29;0;0;0;24;2;,0833333333333333;,0104166666666667;26;1;,0384615384615385;,00480769230769231;19;1;,0526315789473684;,00657894736842105;25;2;,08;,01
10JJ;00;RK Basissch Zeelsterhof;5502JV;VELDHOVEN; 861;Veldhoven;Noord-Brabant;Bo;Rooms-Katholiek;77338;52;8;,153846153846154;,0192307692307692;56;7;,125;,015625;46;6;,130434782608696;,016304347826087;54;5;,0925925925925926;,0115740740740741;50;4;,08;,01;46;3;,0652173913043478;,00815217391304348;52;5;,0961538461538462;,0120192307692308
10JK;00;Bs De Beerze;5091SC;OOST WEST EN MIDDELBEERS; 823;Oirschot;Noord-Brabant;Bo;Rooms-Katholiek;40982;74;11;,148648648648649;,0185810810810811;66;13;,196969696969697;,0246212121212121;61;7;,114754098360656;,014344262295082;59;8;,135593220338983;,0169491525423729;53;7;,132075471698113;,0165094339622642;49;4;,0816326530612245;,0102040816326531;49;5;,102040816326531;,0127551020408163
10JL;00;Basisschool Heilig Hart;5104JN;DONGEN; 766;Dongen;Noord-Brabant;Bo;Rooms-Katholiek;40672;34;0;0;0;38;4;,105263157894737;,0131578947368421;25;2;,08;,01;40;3;,075;,009375;36;1;,0277777777777778;,00347222222222222;30;4;,133333333333333;,0166666666666667;35;3;,0857142857142857;,0107142857142857
10JM;00;Paadwizer;9062GB;OENTSJERK; 737;Tytsjerksteradiel;Friesland;Bo;Protestants-Christelijk;42754;13;3;,230769230769231;,0288461538461538;11;0;0;0;4;0;0;0;11;0;0;0;17;1;,0588235294117647;,00735294117647059;9;1;,111111111111111;,0138888888888889;8;2;,25;,03125
10JN;00;Basissch De Groene Oase;3155AJ;MAASLAND;1842;Midden-Delfland;Zuid-Holland;Bo;Protestants-Christelijk;41454;47;6;,127659574468085;,0159574468085106;45;9;,2;,025;37;8;,216216216216216;,027027027027027;41;7;,170731707317073;,0213414634146341;27;2;,0740740740740741;,00925925925925926;42;3;,0714285714285714;,00892857142857143;27;1;,037037037037037;,00462962962962963
10JO;00;Bs. De Empel;5469SL;ERP;1948;Meierijstad;Noord-Brabant;Bo;Rooms-Katholiek;73712;41;2;,0487804878048781;,00609756097560976;34;3;,0882352941176471;,0110294117647059;30;1;,0333333333333333;,00416666666666667;32;3;,09375;,01171875;28;2;,0714285714285714;,00892857142857143;25;3;,12;,015;34;2;,0588235294117647;,00735294117647059
10JP;00;Kbs Olympia;4822XM;BREDA; 758;Breda;Noord-Brabant;Bo;Rooms-Katholiek;41407;30;12;,4;,05;21;5;,238095238095238;,0297619047619048;27;7;,259259259259259;,0324074074074074;23;8;,347826086956522;,0434782608695652;20;7;,35;,04375;23;2;,0869565217391304;,0108695652173913;19;3;,157894736842105;,0197368421052632
10JT;00;De Triangel;7122BC;AALTEN; 197;Aalten;Gelderland;Bo;Protestants-Christelijk;41787;27;2;,0740740740740741;,00925925925925926;26;2;,0769230769230769;,00961538461538462;25;0;0;0;26;1;,0384615384615385;,00480769230769231;31;2;,0645161290322581;,00806451612903226;22;1;,0454545454545455;,00568181818181818;20;3;,15;,01875
10JT;01;De Triangel;7122ZX;AALTEN; 197;Aalten;Gelderland;Bo;Protestants-Christelijk;41787;18;3;,166666666666667;,0208333333333333;23;3;,130434782608696;,016304347826087;28;2;,0714285714285714;,00892857142857143;21;3;,142857142857143;,0178571428571429;28;3;,107142857142857;,0133928571428571;26;4;,153846153846154;,0192307692307692;25;2;,08;,01
10JU;00;Chr Basisschool t Honk;4421BW;KAPELLE; 678;Kapelle;Zeeland;Bo;Protestants-Christelijk;41582;41;7;,170731707317073;,0213414634146341;43;5;,116279069767442;,0145348837209302;40;5;,125;,015625;36;2;,0555555555555556;,00694444444444444;28;6;,214285714285714;,0267857142857143;35;3;,0857142857142857;,0107142857142857;51;7;,137254901960784;,017156862745098
10JX;00;Chr Basisschool Zeehonk;2202KB;NOORDWIJK ZH; 575;Noordwijk;Zuid-Holland;Bo;Protestants-Christelijk;40967;29;3;,103448275862069;,0129310344827586;31;1;,032258064516129;,00403225806451613;27;5;,185185185185185;,0231481481481481;28;1;,0357142857142857;,00446428571428571;25;2;,08;,01;20;4;,2;,025;15;2;,133333333333333;,0166666666666667
10KB;00;Het Kofschip;1191GW;OUDERKERK AAN DE AMSTEL; 437;Ouder-Amstel;Noord-Holland;Bo;Rooms-Katholiek;40020;59;3;,0508474576271186;,00635593220338983;48;2;,0416666666666667;,00520833333333333;46;3;,0652173913043478;,00815217391304348;40;2;,05;,00625;42;1;,0238095238095238;,00297619047619048;28;1;,0357142857142857;,00446428571428571;43;0;0;0
10KC;00;Willem De Zwijgerschool;1141JL;MONNICKENDAM; 852;Waterland;Noord-Holland;Bo;Protestants-Christelijk;41012;23;3;,130434782608696;,016304347826087;21;3;,142857142857143;,0178571428571429;20;2;,1;,0125;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10KD;00;Basisschool De Pas;5988AW;HELDEN;1894;Peel en Maas;Limburg;Bo;Rooms-Katholiek;47959;28;4;,142857142857143;,0178571428571429;19;5;,263157894736842;,0328947368421053;27;3;,111111111111111;,0138888888888889;21;2;,0952380952380952;,0119047619047619;17;4;,235294117647059;,0294117647058824;16;0;0;0;15;3;,2;,025
10KE;00;Vrije School Groningen;9725KA;GRONINGEN;  14;Groningen;Groningen;Bo;Antroposofisch;77456;25;2;,08;,01;29;1;,0344827586206897;,00431034482758621;30;4;,133333333333333;,0166666666666667;30;2;,0666666666666667;,00833333333333333;47;7;,148936170212766;,0186170212765957;28;4;,142857142857143;,0178571428571429;24;0;0;0
10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS; 981;Vaals;Limburg;Bo;Rooms-Katholiek;41506;20;1;,05;,00625;19;4;,210526315789474;,0263157894736842;22;2;,0909090909090909;,0113636363636364;18;4;,222222222222222;,0277777777777778;17;2;,117647058823529;,0147058823529412;19;1;,0526315789473684;,00657894736842105;17;0;0;0
10KN;00;Basisschool De Eshorst;9411AK;BEILEN;1731;Midden-Drenthe;Drenthe;Bo;Protestants-Christelijk;32073;29;3;,103448275862069;,0129310344827586;34;6;,176470588235294;,0220588235294118;50;2;,04;,005;39;3;,0769230769230769;,00961538461538462;41;1;,024390243902439;,00304878048780488;36;5;,138888888888889;,0173611111111111;35;1;,0285714285714286;,00357142857142857
10KP;00;De Maten;7683XH;DEN HAM OV;1700;Twenterand;Overijssel;Bo;Protestants-Christelijk;61751;32;7;,21875;,02734375;29;4;,137931034482759;,0172413793103448;28;1;,0357142857142857;,00446428571428571;23;2;,0869565217391304;,0108695652173913;30;4;,133333333333333;,0166666666666667;19;0;0;0;26;2;,0769230769230769;,00961538461538462
10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;1742;Rijssen-Holten;Overijssel;Bo;Protestants-Christelijk;83696;36;4;,111111111111111;,0138888888888889;48;8;,166666666666667;,0208333333333333;45;5;,111111111111111;,0138888888888889;55;13;,236363636363636;,0295454545454545;52;3;,0576923076923077;,00721153846153846;38;5;,131578947368421;,0164473684210526;44;6;,136363636363636;,0170454545454545
10KS;00;'t Geerke;6655AK;PUIFLIJK; 225;Druten;Gelderland;Bo;Rooms-Katholiek;41340;32;1;,03125;,00390625;24;3;,125;,015625;38;6;,157894736842105;,0197368421052632;27;1;,037037037037037;,00462962962962963;27;4;,148148148148148;,0185185185185185;25;3;,12;,015;27;2;,0740740740740741;,00925925925925926
10KW;00;Obs Slingerbos;7431BV;DIEPENVEEN; 150;Deventer;Overijssel;Bo;Openbaar;41862;61;9;,147540983606557;,0184426229508197;51;8;,156862745098039;,0196078431372549;61;5;,0819672131147541;,0102459016393443;39;3;,0769230769230769;,00961538461538462;46;3;,0652173913043478;,00815217391304348;43;2;,0465116279069767;,00581395348837209;44;2;,0454545454545455;,00568181818181818
10KX;00;Basisschool Westerkim;5102DC;DONGEN; 766;Dongen;Noord-Brabant;Bo;Openbaar;41435;22;6;,272727272727273;,0340909090909091;29;11;,379310344827586;,0474137931034483;13;4;,307692307692308;,0384615384615385;12;4;,333333333333333;,0416666666666667;11;4;,363636363636364;,0454545454545455;20;4;,2;,025;12;2;,166666666666667;,0208333333333333
10KZ;00;Arjen Roelofsskoalle;9054KM;HIJUM;  80;Leeuwarden;Friesland;Bo;Openbaar;41693;4;0;0;0;1;0;0;0;3;1;,333333333333333;,0416666666666667;5;0;0;0;4;3;,75;,09375;7;1;,142857142857143;,0178571428571429;6;1;,166666666666667;,0208333333333333
10LB;00;OBS Groeterschool;1873JA;GROET; 373;Bergen (NH.);Noord-Holland;Bo;Openbaar;41191;12;0;0;0;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10LI;00;'t Anker;3812EV;AMERSFOORT; 307;Amersfoort;Utrecht;Bo;Protestants-Christelijk;30010;28;2;,0714285714285714;,00892857142857143;20;3;,15;,01875;29;3;,103448275862069;,0129310344827586;17;1;,0588235294117647;,00735294117647059;14;1;,0714285714285714;,00892857142857143;26;2;,0769230769230769;,00961538461538462;21;1;,0476190476190476;,00595238095238095
10LK;00;Basisschool De Rythmeen;7437BX;BATHMEN; 150;Deventer;Overijssel;Bo;Openbaar;41862;29;3;,103448275862069;,0129310344827586;32;1;,03125;,00390625;34;3;,0882352941176471;,0110294117647059;24;2;,0833333333333333;,0104166666666667;28;0;0;0;28;1;,0357142857142857;,00446428571428571;31;1;,032258064516129;,00403225806451613
10LM;00;OBS Menno ter Braakschool;7151CP;EIBERGEN;1859;Berkelland;Gelderland;Bo;Openbaar;41413;25;0;0;0;29;2;,0689655172413793;,00862068965517241;22;0;0;0;33;5;,151515151515152;,0189393939393939;26;2;,0769230769230769;,00961538461538462;28;1;,0357142857142857;,00446428571428571;28;3;,107142857142857;,0133928571428571
10LN;00;De Vlieger;5246GB;ROSMALEN; 796;'s-Hertogenbosch;Noord-Brabant;Bo;Openbaar;41672;55;11;,2;,025;54;5;,0925925925925926;,0115740740740741;33;4;,121212121212121;,0151515151515152;33;2;,0606060606060606;,00757575757575758;0;0; ; ;0;0; ; ;0;0; ; 
10LV;00;De Waldiik;9233KN;BOELENSLAAN;  59;Achtkarspelen;Friesland;Bo;Openbaar;41492;12;2;,166666666666667;,0208333333333333;7;1;,142857142857143;,0178571428571429;0;0; ; ;8;0;0;0;6;0;0;0;13;1;,0769230769230769;,00961538461538462;13;1;,0769230769230769;,00961538461538462
10LW;00;Omnis school 't Opstapje;4438AJ;DRIEWEGEN; 654;Borsele;Zeeland;Bo;Openbaar;42634;5;0;0;0;6;0;0;0;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10LX;00;OBS De Regenboog;6226AR;MAASTRICHT; 935;Maastricht;Limburg;Bo;Openbaar;42669;20;2;,1;,0125;2;0;0;0;2;0;0;0;14;6;,428571428571429;,0535714285714286;10;2;,2;,025;19;2;,105263157894737;,0131578947368421;14;3;,214285714285714;,0267857142857143
10LY;00;OBS Weemewereld;7672GE;VRIEZENVEEN;1700;Twenterand;Overijssel;Bo;Openbaar;41476;4;1;,25;,03125;10;1;,1;,0125;9;0;0;0;9;3;,333333333333333;,0416666666666667;18;2;,111111111111111;,0138888888888889;13;1;,0769230769230769;,00961538461538462;10;0;0;0
10MA;00;obs 't Skitteljacht;1616HB;HOOGKARSPEL; 498;Drechterland;Noord-Holland;Bo;Openbaar;13662;36;1;,0277777777777778;,00347222222222222;33;2;,0606060606060606;,00757575757575758;38;0;0;0;41;3;,0731707317073171;,00914634146341463;20;1;,05;,00625;15;0;0;0;18;2;,111111111111111;,0138888888888889
10MB;00;Parelmoer;4401HZ;YERSEKE; 703;Reimerswaal;Zeeland;Bo;Openbaar;41778;14;0;0;0;20;0;0;0;13;1;,0769230769230769;,00961538461538462;9;0;0;0;9;0;0;0;14;0;0;0;8;1;,125;,015625
10ME;00;Willem van Oranje;3442HG;WOERDEN; 632;Woerden;Utrecht;Bo;Protestants-Christelijk;41286;29;2;,0689655172413793;,00862068965517241;41;7;,170731707317073;,0213414634146341;27;5;,185185185185185;,0231481481481481;26;4;,153846153846154;,0192307692307692;31;4;,129032258064516;,0161290322580645;28;5;,178571428571429;,0223214285714286;44;3;,0681818181818182;,00852272727272727
10MI;00;Drakensteyn;7542LR;ENSCHEDE; 153;Enschede;Overijssel;Bo;Protestants-Christelijk;24844;77;2;,025974025974026;,00324675324675325;66;2;,0303030303030303;,00378787878787879;32;2;,0625;,0078125;54;4;,0740740740740741;,00925925925925926;61;6;,0983606557377049;,0122950819672131;65;7;,107692307692308;,0134615384615385;57;3;,0526315789473684;,00657894736842105
10MM;00;IKC Wereldwijs;2132VH;HOOFDDORP; 394;Haarlemmermeer;Noord-Holland;Bo;Protestants-Christelijk;42683;7;0;0;0;2;0;0;0;16;2;,125;,015625;14;1;,0714285714285714;,00892857142857143;20;1;,05;,00625;23;3;,130434782608696;,016304347826087;21;0;0;0
10MO;00;Albert Plesmanschool;3068BS;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;74531;44;6;,136363636363636;,0170454545454545;48;12;,25;,03125;50;9;,18;,0225;38;5;,131578947368421;,0164473684210526;50;2;,04;,005;30;4;,133333333333333;,0166666666666667;39;3;,0769230769230769;,00961538461538462
10MP;00;Prins Mauritsschool;7951PE;STAPHORST; 180;Staphorst;Overijssel;Bo;Reformatorisch;29056;31;8;,258064516129032;,032258064516129;30;0;0;0;21;3;,142857142857143;,0178571428571429;31;5;,161290322580645;,0201612903225806;31;3;,0967741935483871;,0120967741935484;21;4;,19047619047619;,0238095238095238;22;1;,0454545454545455;,00568181818181818
10MR;00;De Lindenhoeve;6546HC;NIJMEGEN; 268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;29810;16;2;,125;,015625;8;1;,125;,015625;12;4;,333333333333333;,0416666666666667;14;1;,0714285714285714;,00892857142857143;13;3;,230769230769231;,0288461538461538;18;5;,277777777777778;,0347222222222222;17;4;,235294117647059;,0294117647058824
10MT;00;Chr Basisschool Bekveld;7255JX;HENGELO GLD;1876;Bronckhorst;Gelderland;Bo;Protestants-Christelijk;41011;4;1;,25;,03125;13;0;0;0;9;1;,111111111111111;,0138888888888889;4;2;,5;,0625;10;2;,2;,025;6;1;,166666666666667;,0208333333333333;8;2;,25;,03125
10MV;00;Basissch De Uilenburcht;3972XD;DRIEBERGEN-RIJSENBURG;1581;Utrechtse Heuvelrug;Utrecht;Bo;Protestants-Christelijk;41483;44;9;,204545454545455;,0255681818181818;39;4;,102564102564103;,0128205128205128;31;3;,0967741935483871;,0120967741935484;33;3;,0909090909090909;,0113636363636364;31;6;,193548387096774;,0241935483870968;33;4;,121212121212121;,0151515151515152;34;5;,147058823529412;,0183823529411765
10MW;00;PR Mauritsschool;7423DS;DEVENTER; 150;Deventer;Overijssel;Bo;Protestants-Christelijk;23128;21;4;,19047619047619;,0238095238095238;14;1;,0714285714285714;,00892857142857143;17;1;,0588235294117647;,00735294117647059;27;3;,111111111111111;,0138888888888889;19;0;0;0;23;4;,173913043478261;,0217391304347826;0;0; ; 
10MX;00;Chr Bs De Klaroen;3601TJ;MAARSSEN;1904;Stichtse Vecht;Utrecht;Bo;Protestants-Christelijk;41138;23;2;,0869565217391304;,0108695652173913;31;4;,129032258064516;,0161290322580645;24;3;,125;,015625;31;2;,0645161290322581;,00806451612903226;47;5;,106382978723404;,0132978723404255;23;4;,173913043478261;,0217391304347826;29;5;,172413793103448;,021551724137931
10MX;01;Chr Bs De Klaroen;3612BH;TIENHOVEN;1904;Stichtse Vecht;Utrecht;Bo;Protestants-Christelijk;41138;15;0;0;0;17;0;0;0;7;0;0;0;9;0;0;0;9;1;,111111111111111;,0138888888888889;8;0;0;0;10;1;,1;,0125
10MY;00;Beatrixschool;3086LW;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;47595;24;0;0;0;25;2;,08;,01;21;1;,0476190476190476;,00595238095238095;23;4;,173913043478261;,0217391304347826;22;1;,0454545454545455;,00568181818181818;39;2;,0512820512820513;,00641025641025641;59;3;,0508474576271186;,00635593220338983
10MZ;00;Emmaschool;3054EX;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;40774;43;9;,209302325581395;,0261627906976744;47;7;,148936170212766;,0186170212765957;57;7;,12280701754386;,0153508771929825;58;6;,103448275862069;,0129310344827586;53;4;,0754716981132075;,00943396226415094;52;6;,115384615384615;,0144230769230769;82;8;,0975609756097561;,0121951219512195
10NA;00;De Blinkerd;2681NW;MONSTER;1783;Westland;Zuid-Holland;Bo;Protestants-Christelijk;41454;35;7;,2;,025;30;3;,1;,0125;34;4;,117647058823529;,0147058823529412;41;4;,0975609756097561;,0121951219512195;44;2;,0454545454545455;,00568181818181818;54;4;,0740740740740741;,00925925925925926;48;1;,0208333333333333;,00260416666666667
10NB;00;Basisschool De Elzenhof;7772JA;HARDENBERG; 160;Hardenberg;Overijssel;Bo;Protestants-Christelijk;40946;30;5;,166666666666667;,0208333333333333;30;5;,166666666666667;,0208333333333333;38;12;,315789473684211;,0394736842105263;35;7;,2;,025;35;7;,2;,025;35;10;,285714285714286;,0357142857142857;29;9;,310344827586207;,0387931034482759
10NC;00;Stadh Willem III School;3342BL;HENDRIK-IDO-AMBACHT; 531;Hendrik-Ido-Ambacht;Zuid-Holland;Bo;Reformatorisch;38910;34;0;0;0;24;0;0;0;34;3;,0882352941176471;,0110294117647059;22;4;,181818181818182;,0227272727272727;25;3;,12;,015;34;6;,176470588235294;,0220588235294118;22;3;,136363636363636;,0170454545454545
10ND;00;Basisschool De Vallei;3831JT;LEUSDEN; 327;Leusden;Utrecht;Bo;Protestants-Christelijk;41886;20;2;,1;,0125;14;0;0;0;18;1;,0555555555555556;,00694444444444444;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10NH;00;De Vijverhof;2271GN;VOORBURG;1916;Leidschendam-Voorburg;Zuid-Holland;Bo;Protestants-Christelijk;20281;34;5;,147058823529412;,0183823529411765;31;2;,0645161290322581;,00806451612903226;27;5;,185185185185185;,0231481481481481;33;4;,121212121212121;,0151515151515152;28;2;,0714285714285714;,00892857142857143;33;2;,0606060606060606;,00757575757575758;31;1;,032258064516129;,00403225806451613
10NK;00;Bs. Franciscus;5492EH;SINT-OEDENRODE;1948;Meierijstad;Noord-Brabant;Bo;Rooms-Katholiek;41731;14;1;,0714285714285714;,00892857142857143;15;2;,133333333333333;,0166666666666667;9;1;,111111111111111;,0138888888888889;19;3;,157894736842105;,0197368421052632;15;1;,0666666666666667;,00833333333333333;9;2;,222222222222222;,0277777777777778;8;1;,125;,015625
10NL;00;Chr Basissch de Bongerd;2986CA;RIDDERKERK; 597;Ridderkerk;Zuid-Holland;Bo;Protestants-Christelijk;37949;29;4;,137931034482759;,0172413793103448;36;3;,0833333333333333;,0104166666666667;34;3;,0882352941176471;,0110294117647059;34;1;,0294117647058824;,00367647058823529;24;3;,125;,015625;24;3;,125;,015625;22;2;,0909090909090909;,0113636363636364
10NM;00;IKC Beatrix;3351HA;PAPENDRECHT; 590;Papendrecht;Zuid-Holland;Bo;Protestants-Christelijk;43928;44;4;,0909090909090909;,0113636363636364;65;7;,107692307692308;,0134615384615385;41;12;,292682926829268;,0365853658536585;63;9;,142857142857143;,0178571428571429;50;8;,16;,02;44;6;,136363636363636;,0170454545454545;62;14;,225806451612903;,0282258064516129
10NN;00;ds. R.P.A. Rutgersschool;2225XV;KATWIJK ZH; 537;Katwijk;Zuid-Holland;Bo;Protestants-Christelijk;40508;26;6;,230769230769231;,0288461538461538;25;6;,24;,03;18;2;,111111111111111;,0138888888888889;17;3;,176470588235294;,0220588235294118;14;1;,0714285714285714;,00892857142857143;10;0;0;0;23;0;0;0
10NO;00;De Zuidster;8014DM;ZWOLLE; 193;Zwolle;Overijssel;Bo;Protestants-Christelijk;40934;39;1;,0256410256410256;,00320512820512821;27;4;,148148148148148;,0185185185185185;19;4;,210526315789474;,0263157894736842;25;0;0;0;15;1;,0666666666666667;,00833333333333333;20;3;,15;,01875;13;2;,153846153846154;,0192307692307692
10NP;00; Ichthus;3146BX;MAASSLUIS; 556;Maassluis;Zuid-Holland;Bo;Protestants-Christelijk;41338;40;7;,175;,021875;48;9;,1875;,0234375;49;3;,0612244897959184;,0076530612244898;42;8;,19047619047619;,0238095238095238;42;11;,261904761904762;,0327380952380952;42;4;,0952380952380952;,0119047619047619;39;1;,0256410256410256;,00320512820512821
10NQ;00;Oranjeschool;8091KK;WEZEP; 269;Oldebroek;Gelderland;Bo;Protestants-Christelijk;41416;8;1;,125;,015625;16;4;,25;,03125;16;1;,0625;,0078125;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10NS;00;RK BS St Maarten;4661JW;HALSTEREN; 748;Bergen op Zoom;Noord-Brabant;Bo;Rooms-Katholiek;40517;22;2;,0909090909090909;,0113636363636364;14;5;,357142857142857;,0446428571428571;18;6;,333333333333333;,0416666666666667;13;2;,153846153846154;,0192307692307692;15;2;,133333333333333;,0166666666666667;7;0;0;0;12;2;,166666666666667;,0208333333333333
10NV;00;Basissch De Bruinhorst;3925EZ;SCHERPENZEEL GLD; 279;Scherpenzeel;Gelderland;Bo;Protestants-Christelijk;41621;17;3;,176470588235294;,0220588235294118;23;2;,0869565217391304;,0108695652173913;13;2;,153846153846154;,0192307692307692;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10NW;00;Julianaschool;7102EV;WINTERSWIJK; 294;Winterswijk;Gelderland;Bo;Protestants-Christelijk;41787;25;5;,2;,025;18;1;,0555555555555556;,00694444444444444;22;0;0;0;24;5;,208333333333333;,0260416666666667;25;4;,16;,02;26;0;0;0;22;2;,0909090909090909;,0113636363636364
10NX;00;De Hoeksteen;1628ME;HOORN NH; 405;Hoorn;Noord-Holland;Bo;Protestants-Christelijk;31657;24;1;,0416666666666667;,00520833333333333;21;6;,285714285714286;,0357142857142857;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
10NY;00;Basisschool de Regenboog;5427CH;BOEKEL; 755;Boekel;Noord-Brabant;Bo;Rooms-Katholiek;32580;40;2;,05;,00625;35;2;,0571428571428571;,00714285714285714;20;1;,05;,00625;33;5;,151515151515152;,0189393939393939;25;3;,12;,015;26;2;,0769230769230769;,00961538461538462;27;1;,037037037037037;,00462962962962963
10NZ;00;De Weijerwereld;5831JV;BOXMEER; 756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;20;1;,05;,00625;18;0;0;0;19;1;,0526315789473684;,00657894736842105;28;5;,178571428571429;,0223214285714286;28;0;0;0;38;2;,0526315789473684;,00657894736842105;29;1;,0344827586206897;,00431034482758621
10OA;00;Basisschool Hulsberg;6336AN;HULSBERG;1954;Beekdaelen;Limburg;Bo;Rooms-Katholiek;41506;35;3;,0857142857142857;,0107142857142857;45;8;,177777777777778;,0222222222222222;22;3;,136363636363636;,0170454545454545;29;5;,172413793103448;,021551724137931;29;7;,241379310344828;,0301724137931035;32;7;,21875;,02734375;25;6;,24;,03
10OC;00;Basisschool Octa;7006SM;DOETINCHEM; 222;Doetinchem;Gelderland;Bo;Rooms-Katholiek;50844;25;6;,24;,03;34;7;,205882352941176;,0257352941176471;22;1;,0454545454545455;,00568181818181818;26;4;,153846153846154;,0192307692307692;29;3;,103448275862069;,0129310344827586;23;0;0;0;34;4;,117647058823529;,0147058823529412
10OD;00;de Windroos;1503TJ;ZAANDAM; 479;Zaanstad;Noord-Holland;Bo;Algemeen bijzonder;41251;38;6;,157894736842105;,0197368421052632;43;4;,0930232558139535;,0116279069767442;26;5;,192307692307692;,0240384615384615;27;1;,037037037037037;,00462962962962963;32;3;,09375;,01171875;37;2;,0540540540540541;,00675675675675676;32;1;,03125;,00390625
