BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LJ8_13;ZIT_13;ZITPERC_13;ZITPERC_LJ_13;LJ8_14;ZIT_14;ZITPERC_14;ZITPERC_LJ_14;LJ8_15;ZIT_15;ZITPERC_15;ZITPERC_LJ_15;LJ8_16;ZIT_16;ZITPERC_16;ZITPERC_LJ_16;LJ8_17;ZIT_17;ZITPERC_17;ZITPERC_LJ_17;LJ8_18;ZIT_18;ZITPERC_18;ZITPERC_LJ_18;LJ8_19;ZIT_19;ZITPERC_19;ZITPERC_LJ_19
08HP;00;Kees Valkensteinschool;3451VD;VLEUTEN; 344;Utrecht;Utrecht;Bo;Openbaar;41400;41;9;,219512195121951;,0274390243902439;38;5;,131578947368421;,0164473684210526;41;2;,0487804878048781;,00609756097560976;40;2;,05;,00625;33;3;,0909090909090909;,0113636363636364;28;1;,0357142857142857;,00446428571428571;38;3;,0789473684210526;,00986842105263158
08HQ;00;Theo Thijssenschool;4301NW;ZIERIKZEE;1676;Schouwen-Duiveland;Zeeland;Bo;Openbaar;41557;15;1;,0666666666666667;,00833333333333333;9;2;,222222222222222;,0277777777777778;19;3;,157894736842105;,0197368421052632;23;3;,130434782608696;,016304347826087;12;1;,0833333333333333;,0104166666666667;21;5;,238095238095238;,0297619047619048;21;1;,0476190476190476;,00595238095238095
08IB;00;Togtemaarschool;9781NR;BEDUM;1966;Het Hogeland;Groningen;Bo;Openbaar;41574;49;8;,163265306122449;,0204081632653061;31;5;,161290322580645;,0201612903225806;40;5;,125;,015625;38;5;,131578947368421;,0164473684210526;32;5;,15625;,01953125;21;1;,0476190476190476;,00595238095238095;31;4;,129032258064516;,0161290322580645
08IC;00;Westerschool;9695AC;BELLINGWOLDE;1950;Westerwolde;Groningen;Bo;Openbaar;41613;9;1;,111111111111111;,0138888888888889;14;0;0;0;19;2;,105263157894737;,0131578947368421;13;2;,153846153846154;,0192307692307692;16;2;,125;,015625;20;4;,2;,025;15;3;,2;,025
08IE;00;OBS de Tuimelaar;2957RK;NIEUW-LEKKERLAND;1978;Molenlanden;Zuid-Holland;Bo;Openbaar;41638;27;3;,111111111111111;,0138888888888889;31;4;,129032258064516;,0161290322580645;28;2;,0714285714285714;,00892857142857143;23;0;0;0;30;3;,1;,0125;30;0;0;0;26;2;,0769230769230769;,00961538461538462
08IF;00;Het Kompas;7586AR;OVERDINKEL; 168;Losser;Overijssel;Bo;Openbaar;41565;24;0;0;0;24;0;0;0;16;3;,1875;,0234375;15;1;,0666666666666667;,00833333333333333;19;1;,0526315789473684;,00657894736842105;20;1;,05;,00625;18;1;,0555555555555556;,00694444444444444
08IH;00;Gevers Deutz Terwee;2341CV;OEGSTGEEST; 579;Oegstgeest;Zuid-Holland;Bo;Openbaar;13682;46;5;,108695652173913;,0135869565217391;40;2;,05;,00625;46;2;,0434782608695652;,00543478260869565;30;5;,166666666666667;,0208333333333333;41;0;0;0;44;0;0;0;42;3;,0714285714285714;,00892857142857143
08IN;00;De Schakel;2935AK;OUDERKERK AAN DEN IJSSEL;1931;Krimpenerwaard;Zuid-Holland;Bo;Openbaar;41401;21;0;0;0;27;3;,111111111111111;,0138888888888889;21;1;,0476190476190476;,00595238095238095;16;2;,125;,015625;19;4;,210526315789474;,0263157894736842;18;1;,0555555555555556;,00694444444444444;22;1;,0454545454545455;,00568181818181818
08IQ;00;OBS De Kleine Wereld;5346JH;OSS; 828;Oss;Noord-Brabant;Bo;Openbaar;13674;20;1;,05;,00625;26;0;0;0;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
08IR;00;De Uilenbrink;5467BM;VEGHEL;1948;Meierijstad;Noord-Brabant;Bo;Openbaar;75388;84;4;,0476190476190476;,00595238095238095;84;5;,0595238095238095;,00744047619047619;91;4;,043956043956044;,00549450549450549;82;3;,0365853658536585;,00457317073170732;88;9;,102272727272727;,0127840909090909;78;2;,0256410256410256;,00320512820512821;83;3;,036144578313253;,00451807228915663
