PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;REKENEN_LAGER1F;REKENEN_1F;REKENEN_1S;REKENEN_2F;LV_LAGER1F;LV_1F;LV_2F;TV_LAGER1F;TV_1F;TV_2F
20170415;11LL;0;Basisschool de Vlieger;6432CP;HOENSBROEK;917;Heerlen;Limburg;Bo;Rooms-Katholiek;41516;6;12;9;0;4;12;11;1;14;12
20170415;11LM;0;Basisschool De Toverbal;5801EM;VENRAY;984;Venray;Limburg;Bo;Rooms-Katholiek;44397;1;5;0;5;0;2;9;0;6;5
20170415;11LO;0;Basisschool Sint Joris;7132DK;LICHTENVOORDE;1586;Oost Gelre;Gelderland;Bo;Rooms-Katholiek;46724;7;17;7;8;0;15;24;0;30;9
20170415;11LP;0;IKC De Hoge Hoeve;6932DJ;WESTERVOORT;293;Westervoort;Gelderland;Bo;Rooms-Katholiek;42148;4;17;20;0;0;7;34;0;16;25
20170415;11LR;0;PC Basisschool d1e Akker;7943LD;MEPPEL;119;Meppel;Drenthe;Bo;Protestants-Christelijk;50195;3;17;24;0;3;7;34;3;14;27
20170415;11LS;0;Paul Krugerschool;7741ER;COEVORDEN;109;Coevorden;Drenthe;Bo;Protestants-Christelijk;41052;0;5;15;1;0;7;14;0;3;18
20170415;11LT;0;RK Basissch t Oventje;5411NT;ZEELAND;1685;Landerd;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;8;3;0;0;4;7;0;6;5
20170415;11LU;0;Basisschool De Bolleberg;5991XG;BAARLO LB;1894;Peel en Maas;Limburg;Bo;Rooms-Katholiek;75597;0;5;9;0;0;2;12;0;7;7
20170415;11LX;0;De Rank;2871JM;SCHOONHOVEN;1931;Krimpenerwaard;Zuid-Holland;Bo;Protestants-Christelijk;41532;3;8;28;0;1;12;26;0;10;29
20170415;11LY;0;Frankendael;1098CA;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;1;3;10;0;1;3;10;1;4;9
20170415;11MA;0;Chr BS De Lichtbron;9285TS;BUITENPOST;59;Achtkarspelen;Friesland;Bo;Protestants-Christelijk;41005;1;27;21;0;0;17;32;2;18;29
20170415;11MB;0;Chr Bs de Hoekstien;9231AZ;SURHUISTERVEEN;59;Achtkarspelen;Friesland;Bo;Protestants-Christelijk;41005;0;11;9;0;0;6;14;0;7;13
20170415;11MC;0;PC Basissch Wiltzangh;4876XB;ETTEN-LEUR;777;Etten-Leur;Noord-Brabant;Bo;Protestants-Christelijk;69539;4;16;8;0;1;15;12;3;16;9
20170415;11MD;0;Pastoor Middelkoopschool;7891EK;KLAZIENAVEEN;114;Emmen;Drenthe;Bo;Rooms-Katholiek;45000;3;8;5;0;1;7;8;2;11;3
20170415;11MG;0;RK Basissch Klimop;5171BM;KAATSHEUVEL;809;Loon op Zand;Noord-Brabant;Bo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;0;0
20170415;11MI;0;RK Basissch Agnetendal;5551BJ;VALKENSWAARD;858;Valkenswaard;Noord-Brabant;Bo;Rooms-Katholiek;31384;2;23;3;21;0;3;46;0;22;27
20170415;11MK;0;Mariasch v RK Basisondw;3421BT;OUDEWATER;589;Oudewater;Utrecht;Bo;Rooms-Katholiek;40765;1;9;13;0;0;8;15;1;6;16
20170415;11MN;0;Basisschool Sint Ursula;6461BS;KERKRADE;928;Kerkrade;Limburg;Bo;Rooms-Katholiek;41516;1;15;10;0;3;11;12;4;14;8
20170415;11MO;0;Basisschool Coninxhof;5801RE;VENRAY;984;Venray;Limburg;Bo;Rooms-Katholiek;44397;2;9;10;0;3;4;14;1;10;10
20170415;11MP;0;De Fontein Sch v Chr Bo;2987EL;RIDDERKERK;597;Ridderkerk;Zuid-Holland;Bo;Protestants-Christelijk;37949;0;14;15;0;1;7;21;2;13;14
20170415;11MQ;0;Basisschool Herenweg;2242ES;WASSENAAR;629;Wassenaar;Zuid-Holland;Bo;Protestants-Christelijk;74492;2;20;24;0;0;8;38;0;6;40
20170415;11MR;0;BS Natuurlijk!;5924AC;VENLO;983;Venlo;Limburg;Bo;Rooms-Katholiek;75597;2;15;2;23;0;8;34;1;14;27
20170415;11MS;0;Sterrenschool De Schittering;4731HT;OUDENBOSCH;1655;Halderberge;Noord-Brabant;Bo;Rooms-Katholiek;31017;2;10;24;0;0;11;25;1;8;27
20170415;11MW;0;IKC De Tamboerijn;6904EG;ZEVENAAR;299;Zevenaar;Gelderland;Bo;Protestants-Christelijk;61284;0;17;0;19;0;10;26;0;15;21
20170415;11MZ;0;Basisschool De Wegwijzer;3962AD;WIJK BIJ DUURSTEDE;352;Wijk bij Duurstede;Utrecht;Bo;Protestants-Christelijk;41483;3;15;29;0;0;21;26;1;9;37
20170415;11NC;0;RK Basisschool Maria;1723WB;NOORD-SCHARWOUDE;416;Langedijk;Noord-Holland;Bo;Rooms-Katholiek;79536;3;21;7;0;0;18;13;2;13;16
20170415;11NE;0;Basissch Willibrordus;1611JH;BOVENKARSPEL;532;Stede Broec;Noord-Holland;Bo;Rooms-Katholiek;28563;6;16;15;0;6;16;15;2;22;13
