stadsdeel,aantal_bedrijven_nijverheid_energie,aantal_bedrijven_handel_en_horeca,aantal_bedrijven_vervoer_informatie_communicatie,aantal_bedrijven_financieel_onroerend_goed,aantal_bedrijven_zakelijke_dienstverlening,aantal_bedrijven_overheid_onderwijs_en_zorg,aantal_bedrijven_cultuur_recreatie_overige,aantal_bedrijfsvestigingen,woningvoorraad,eengezinswoning,meergezinswoning,koopwoningen,huurwoningen,huurwoningen_in_bezit_woningcorporaties,huurwoningen_in_bezit_overige_verhuurders,woningen_met_eigendom_onbekend,bouwjaarklasse_tot_2000,bouwjaarklasse_vanaf_2000,aantal_inwoners,gemiddelde_woningwaarde,huisartsenpraktijk_avg_km,apotheek_avg_km,grote_supermarkt_avg_km,winkels_ov_dagelijkse_avg_km,cafe_avg_km,cafetaria_avg_km,restaurant_avg_km,hotel_avg_km,brandweerkazerne_avg_km,zwembad_avg_km,kunstijsbaan_avg_km,bibliotheek_avg_km,bioscoop_avg_km,sauna_avg_km,zonnebank_avg_km,attractiepark_avg_km,kinderdagverblijf_avg_km,bso_avg_km,basisonderwijs_avg_km,voortgezet_onderwijs_avg_km,vmbo_gemiddelde_avg_km,havo_vwo_avg_km
Centrum,1115.0,6030.0,3155.0,2675.0,8940.0,3045.0,5355.0,30340.0,55099.0,2507.0,52533.0,16639.0,38126.0,15609.0,22472.0,310.0,50752.0,4299.0,87100.0,543.8489083286448,0.36637772675086105,0.43935132032146956,0.3135419058553387,0.18940872560275546,0.18354764638346727,0.20257749712973594,0.1321641791044776,0.2504190585533869,1.1594087256027554,1.452508610792193,5.304196326061998,1.3363432835820896,0.91601607347876,1.0969173363949483,0.9422617680826636,1.590097588978186,0.3190642939150402,0.40237657864523535,0.4671928817451205,0.9416532721010333,1.0987428243398392,0.9416532721010333
Nieuw-West,2860.0,3300.0,3505.0,950.0,4705.0,3130.0,2375.0,20940.0,70417.0,16629.0,53714.0,19933.0,50375.0,33560.0,16689.0,15.0,50473.0,19867.0,159545.0,314.0258886348467,0.5929142248268514,0.7073333542260805,0.5479613902033909,0.41926729135980445,0.714939358801592,0.4379861481086841,0.40341283023598357,0.9937196402268952,2.0475508477232127,2.421749349713247,11.111868124980413,1.3652292456673665,4.8659907862985365,1.6909273245792722,1.1870663449183616,2.4259174527562757,0.36036228023441663,0.44606223949355983,0.4918894355824376,1.0240715785515058,1.0240715785515058,1.34724999216522
Noord,1585.0,2040.0,2215.0,670.0,3885.0,2095.0,2665.0,15200.0,46443.0,14971.0,31396.0,13928.0,32392.0,25895.0,6572.0,0.0,37178.0,9205.0,100895.0,322.01795749628576,0.6846374944248972,0.7726943852519946,0.6868229347341296,0.5430348381981268,0.9025125130085733,0.6307795232667625,0.5863422369790376,1.5999504435304028,2.118256603399574,2.534005649437534,9.0818325982457,1.2193914465533475,2.5726596957232766,2.9327667376976065,2.8848010307745677,5.8787650527776405,0.47470142227067746,0.5659893949155063,0.5912136379404331,1.0506764458100004,1.066113286089499,1.7899103027900292
Oost,1145.0,2820.0,3350.0,1625.0,8130.0,3920.0,4440.0,25565.0,72796.0,5895.0,66779.0,21374.0,51195.0,31111.0,20005.0,13.0,46350.0,26332.0,141455.0,417.4620995659102,0.4853911137817681,0.7070905941818953,0.552408893287618,0.40413559082393696,1.3832384857375137,0.3536000848326323,0.2629811600862465,0.8418825774981443,2.2059135414089286,2.558944540666643,3.319147432045527,1.1436216464600049,3.2962426213283376,2.3864126400622108,1.2998586122795235,3.074037679827507,0.3092184793750663,0.39008165140857515,0.4814428616874624,0.8214096355731505,0.8776748789367643,1.026443038422113
West,1605.0,3810.0,3375.0,1335.0,8850.0,4160.0,5875.0,29030.0,80731.0,821.0,79854.0,22962.0,57527.0,30291.0,27191.0,134.0,72767.0,7911.0,148035.0,415.1707646381192,0.35219036038774615,0.4324315195730739,0.3354308102813524,0.21321309149863207,0.2625257540446516,0.2198331475664539,0.16320464754956598,0.5172357888337218,1.580197250650184,1.3527476610261087,8.012540953152971,0.7207721147026042,1.2754382409565306,1.6737967372580809,0.7537845779714257,2.0714966055324755,0.21786401864423954,0.3217482352146452,0.37701894822170434,1.0524673219171141,1.1262235282196777,1.1169892255209917
Westpoort,260.0,430.0,370.0,140.0,400.0,50.0,90.0,1730.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,1.6785714285714286,1.95,1.3214285714285714,1.3642857142857143,1.3464285714285715,0.6321428571428571,0.7464285714285714,1.3214285714285714,2.8535714285714286,3.15,9.014285714285714,2.092857142857143,2.835714285714286,3.7142857142857144,2.617857142857143,4.507142857142857,1.5785714285714285,1.6285714285714286,1.6285714285714286,1.075,2.025,1.225
Zuid,1435.0,4600.0,2865.0,4415.0,10705.0,4730.0,4725.0,33510.0,82334.0,3192.0,79061.0,24030.0,57875.0,21016.0,36827.0,283.0,76074.0,6183.0,145280.0,552.9290451089465,0.41719438325991187,0.43522508259911896,0.3227526156387665,0.24008122246696034,0.42274917400881057,0.22954295154185023,0.17771888766519825,0.4332220539647577,1.77461797907489,1.818619218061674,5.663752753303965,1.0014833425110132,1.9493701817180618,2.0510737885462555,0.6730933370044053,2.6090859030837006,0.2373623348017621,0.365951954845815,0.4709182268722467,0.5502305892070485,0.651693281938326,0.6671875
Zuidoost,950.0,1745.0,1475.0,850.0,2410.0,2120.0,1350.0,10920.0,42139.0,10043.0,32057.0,11761.0,30146.0,21937.0,8204.0,183.0,34380.0,7727.0,90090.0,237.37478345475688,0.6640304140304141,0.7898878898878899,0.8527528027528027,0.7281662781662782,1.1912587412587412,0.7352758352758353,0.6786879786879787,1.831046731046731,2.2244477744477744,2.4131923631923633,6.684554334554335,2.001248751248751,3.534981684981685,4.627777777777778,4.867915417915418,2.3918192918192918,0.5257298257298257,0.602003552003552,0.7214285714285714,1.5088356088356087,1.5088356088356087,1.5819291819291819
