"ID";"Geslacht";"Leeftijd";"Nationaliteit";"RegioS";"Perioden";"Bevolking_1"
"1538990";"T001038";"70100";"NAT9348";"GM0363";"2021JJ00";"286"
"1560942";"T001038";"70100";"NAT9349";"GM0363";"2021JJ00";"27"
"1582894";"T001038";"70100";"NAT9350";"GM0363";"2021JJ00";"4"
"1604846";"T001038";"70100";"NAT9353";"GM0363";"2021JJ00";"508"
"1626798";"T001038";"70100";"NAT9356";"GM0363";"2021JJ00";"77"
"1648750";"T001038";"70100";"NAT9387";"GM0363";"2021JJ00";"123"
"1670702";"T001038";"70100";"NAT9415";"GM0363";"2021JJ00";"178"
"1692654";"T001038";"70100";"NAT9416";"GM0363";"2021JJ00";"115"
"1714606";"T001038";"70100";"NAT9417";"GM0363";"2021JJ00";"159"
"1736558";"T001038";"70100";"NAT9418";"GM0363";"2021JJ00";"169"
"1758510";"T001038";"70100";"NAT9440";"GM0363";"2021JJ00";"263"
"1780462";"T001038";"70100";"NAT9442";"GM0363";"2021JJ00";"38"
"1802414";"T001038";"70100";"NAT9444";"GM0363";"2021JJ00";"257"
"1824366";"T001038";"70100";"NAT9448";"GM0363";"2021JJ00";"7"
"1846318";"T001038";"70100";"NAT9458";"GM0363";"2021JJ00";"338"
"1868270";"T001038";"70100";"NAT9475";"GM0363";"2021JJ00";"378"
"1890222";"T001038";"70100";"NAT9476";"GM0363";"2021JJ00";"91"
"1912174";"T001038";"70100";"NAT9477";"GM0363";"2021JJ00";"271"
"1934126";"T001038";"70100";"NAT9478";"GM0363";"2021JJ00";"558"
"1956078";"T001038";"70100";"NAT9480";"GM0363";"2021JJ00";"278"
"1978030";"T001038";"70200";"T001059";"GM0363";"2021JJ00";"39339"
"1999982";"T001038";"70200";"NAT9489";"GM0363";"2021JJ00";"4938"
"2021934";"T001038";"70200";"NAT9267";"GM0363";"2021JJ00";"34401"
"2043886";"T001038";"70200";"NAT9269";"GM0363";"2021JJ00";"634"
"2065838";"T001038";"70200";"NAT9270";"GM0363";"2021JJ00";"402"
"2087790";"T001038";"70200";"NAT9271";"GM0363";"2021JJ00";"723"
"2109742";"T001038";"70200";"NAT9272";"GM0363";"2021JJ00";"3056"
"2131694";"T001038";"70200";"NAT9274";"GM0363";"2021JJ00";"32"
"2153646";"T001038";"70200";"NAT9275";"GM0363";"2021JJ00";"2127"
"2175598";"T001038";"70200";"NAT9277";"GM0363";"2021JJ00";"676"
"2197550";"T001038";"70200";"NAT9481";"GM0363";"2021JJ00";"631"
"2219502";"T001038";"70200";"NAT9482";"GM0363";"2021JJ00";"3146"
"2241454";"T001038";"70200";"NAT9483";"GM0363";"2021JJ00";"1701"
"2263406";"T001038";"70200";"NAT9281";"GM0363";"2021JJ00";"264"
"2285358";"T001038";"70200";"NAT9292";"GM0363";"2021JJ00";"70"
"2307310";"T001038";"70200";"NAT9300";"GM0363";"2021JJ00";"45"
"2329262";"T001038";"70200";"NAT9301";"GM0363";"2021JJ00";"353"
"2351214";"T001038";"70200";"NAT9303";"GM0363";"2021JJ00";"320"
"2373166";"T001038";"70200";"NAT9322";"GM0363";"2021JJ00";"255"
"2395118";"T001038";"70200";"NAT9310";"GM0363";"2021JJ00";"61"
"2417070";"T001038";"70200";"NAT9326";"GM0363";"2021JJ00";"183"
"2439022";"T001038";"70200";"NAT9332";"GM0363";"2021JJ00";"347"
"2460974";"T001038";"70200";"NAT9338";"GM0363";"2021JJ00";"39"
"2482926";"T001038";"70200";"NAT9345";"GM0363";"2021JJ00";"56"
"2504878";"T001038";"70200";"NAT9346";"GM0363";"2021JJ00";"46"
"2526830";"T001038";"70200";"NAT9348";"GM0363";"2021JJ00";"154"
"2548782";"T001038";"70200";"NAT9349";"GM0363";"2021JJ00";"26"
"2570734";"T001038";"70200";"NAT9350";"GM0363";"2021JJ00";"11"
"2592686";"T001038";"70200";"NAT9353";"GM0363";"2021JJ00";"291"
"2614638";"T001038";"70200";"NAT9356";"GM0363";"2021JJ00";"62"
"2636590";"T001038";"70200";"NAT9387";"GM0363";"2021JJ00";"159"
"2658542";"T001038";"70200";"NAT9415";"GM0363";"2021JJ00";"143"
"2680494";"T001038";"70200";"NAT9416";"GM0363";"2021JJ00";"106"
