buurtcode,buurtnaam,wijkcode,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,aantal_bedrijven_landbouw_bosbouw_visserij,aantal_bedrijven_nijverheid_energie,aantal_bedrijven_handel_en_horeca,aantal_bedrijven_vervoer_informatie_communicatie,aantal_bedrijven_financieel_onroerend_goed,aantal_bedrijven_zakelijke_dienstverlening,aantal_bedrijven_overheid_onderwijs_en_zorg,aantal_bedrijven_cultuur_recreatie_overige,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_woningcorporaties,perc_huurwoningen_in_bezit_overige_verhuurders,percentage_woningen_met_eigendom_onbekend,percentage_bouwjaarklasse_tot_2000,percentage_bouwjaarklasse_vanaf_2000,percentage_leegstand_woningen,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandstof_benzine,aantal_personenautos_met_overige_brandstof,huisartsenpraktijk_gemiddelde_afstand_in_km,huisartsenpraktijk_gemiddeld_aantal_binnen_1_km,huisartsenpraktijk_gemiddeld_aantal_binnen_3_km,huisartsenpraktijk_gemiddeld_aantal_binnen_5_km,apotheek_gemiddelde_afstand_in_km,grote_supermarkt_gemiddelde_afstand_in_km,grote_supermarkt_gemiddeld_aantal_binnen_1_km,grote_supermarkt_gemiddeld_aantal_binnen_3_km,grote_supermarkt_gemiddeld_aantal_binnen_5_km,winkels_ov_dagelijkse_levensm_gem_afst_in_km,winkels_ov_dagel_levensm_gem_aantal_binnen_1_km,winkels_ov_dagel_levensm_gem_aantal_binnen_3_km,winkels_ov_dagel_levensm_gem_aantal_binnen_5_km,warenhuis_gemiddelde_afstand_in_km,warenhuis_gemiddeld_aantal_binnen_5_km,warenhuis_gemiddeld_aantal_binnen_10_km,warenhuis_gemiddeld_aantal_binnen_20_km,cafe_gemiddelde_afstand_in_km,cafe_gemiddeld_aantal_binnen_1_km,cafe_gemiddeld_aantal_binnen_3_km,cafe_gemiddeld_aantal_binnen_5_km,cafetaria_gemiddelde_afstand_in_km,cafetaria_gemiddeld_aantal_binnen_1_km,cafetaria_gemiddeld_aantal_binnen_3_km,cafetaria_gemiddeld_aantal_binnen_5_km,restaurant_gemiddelde_afstand_in_km,restaurant_gemiddeld_aantal_binnen_1_km,restaurant_gemiddeld_aantal_binnen_3_km,restaurant_gemiddeld_aantal_binnen_5_km,hotel_gemiddelde_afstand_in_km,hotel_gemiddeld_aantal_binnen_5_km,hotel_gemiddeld_aantal_binnen_10_km,hotel_gemiddeld_aantal_binnen_20_km,kinderdagverblijf_gemiddelde_afstand_in_km,kinderdagverblijf_gemiddeld_aantal_binnen_1_km,kinderdagverblijf_gemiddeld_aantal_binnen_3_km,kinderdagverblijf_gemiddeld_aantal_binnen_5_km,buitenschoolse_opvang_gem_afstand_in_km,buitenschoolse_opvang_gemiddeld_aantal_binnen_1_km,buitenschoolse_opvang_gemiddeld_aantal_binnen_3_km,buitenschoolse_opvang_gemiddeld_aantal_binnen_5_km,basisonderwijs_gemiddelde_afstand_in_km,basisonderwijs_gemiddeld_aantal_binnen_1_km,basisonderwijs_gemiddeld_aantal_binnen_3_km,basisonderwijs_gemiddeld_aantal_binnen_5_km,voortgezet_onderwijs_gem_afstand_in_km,voortgezet_onderwijs_gemiddeld_aantal_binnen_3_km,voortgezet_onderwijs_gemiddeld_aantal_binnen_5_km,voortgezet_onderwijs_gemiddeld_aantal_binnen_10_km,vmbo_gemiddelde_afstand_in_km,vmbo_gemiddeld_aantal_binnen_3_km,vmbo_gemiddeld_aantal_binnen_5_km,vmbo_gemiddeld_aantal_binnen_10_km,havo_vwo_gemiddelde_afstand_in_km,havo_vwo_gemiddeld_aantal_binnen_3_km,havo_vwo_gemiddeld_aantal_binnen_5_km,havo_vwo_gemiddeld_aantal_binnen_10_km,brandweerkazerne_gemiddelde_afstand_in_km,zwembad_gemiddelde_afstand_in_km,kunstijsbaan_gemiddelde_afstand_in_km,bibliotheek_gemiddelde_afstand_in_km,bioscoop_gemiddelde_afstand_in_km,bioscoop_gemiddeld_aantal_binnen_5_km,bioscoop_gemiddeld_aantal_binnen_10_km,bioscoop_gemiddeld_aantal_binnen_20_km,sauna_gemiddelde_afstand_in_km,zonnebank_gemiddelde_afstand_in_km,attractiepark_gemiddelde_afstand_in_km,attractiepark_gemiddeld_aantal_binnen_10_km,attractiepark_gemiddeld_aantal_binnen_20_km,attractiepark_gemiddeld_aantal_binnen_50_km,wijknaam
BU03630000,Kop Zeedijk,WK036300,18567.0,1115.0,650.0,465.0,4.0,13.0,50.0,25.0,9.0,77.0,14.0,8.0,1.0,5.0,770.0,67.0,26.0,6.0,1.4,35.0,19.0,0.0,1.0,3.0,1.0,13.0,0.0,15.0,210.0,35.0,25.0,95.0,35.0,85.0,505.0,773.0,429.0,4.0,96.0,81.0,19.0,80.0,7.0,74.0,1.0,97.0,3.0,19.0,155.0,0.2,2537.0,25.0,125.0,30.0,0.3,5.9,50.5,129.4,0.3,0.2,10.7,76.8,158.1,0.0,139.1,553.0,935.4,0.6,10.8,21.8,38.4,0.0,170.2,510.9,650.5,0.0,159.8,543.6,798.1,0.0,291.5,1312.0,1943.0,0.1,370.3,436.0,520.0,0.3,5.9,101.5,302.7,0.4,3.6,49.6,150.7,0.4,1.9,26.7,96.3,1.1,10.5,43.0,77.0,1.1,7.5,26.6,57.0,1.1,9.0,29.4,51.0,1.2,2.0,5.3,0.9,1.2,12.0,14.0,21.0,0.6,1.6,1.1,9.0,17.0,67.2,Burgwallen-Oude Zijde
BU03630001,Oude Kerk e.o.,WK036300,7756.0,695.0,390.0,305.0,3.0,21.0,49.0,18.0,10.0,81.0,10.0,7.0,1.0,9.0,510.0,69.0,25.0,6.0,1.4,35.0,17.0,1.0,1.0,2.0,1.0,12.0,0.0,10.0,150.0,30.0,55.0,105.0,25.0,150.0,530.0,532.0,448.0,5.0,95.0,77.0,13.0,85.0,27.0,58.0,2.0,87.0,13.0,23.0,90.0,0.2,1009.0,15.0,70.0,20.0,0.4,7.6,53.2,129.3,0.3,0.2,11.4,77.3,158.9,0.0,151.3,564.6,941.6,0.4,10.8,22.6,37.9,0.0,186.9,525.0,653.3,0.1,191.6,557.6,806.4,0.1,315.9,1355.0,1961.0,0.0,372.9,436.1,521.3,0.4,5.0,119.3,310.1,0.6,2.7,56.4,152.8,0.6,1.6,30.6,95.9,1.3,11.4,42.3,77.6,1.3,8.4,25.7,57.6,1.3,9.6,30.4,51.0,1.5,1.9,5.4,1.2,1.0,12.0,14.0,21.0,0.5,1.5,1.1,9.0,17.0,66.9,Burgwallen-Oude Zijde
BU03630002,Burgwallen Oost,WK036300,27483.0,1650.0,860.0,790.0,5.0,17.0,47.0,20.0,11.0,77.0,15.0,7.0,1.0,8.0,1145.0,66.0,25.0,9.0,1.4,34.0,21.0,1.0,1.0,3.0,1.0,15.0,0.0,30.0,195.0,60.0,40.0,140.0,40.0,220.0,725.0,1008.0,458.0,4.0,96.0,84.0,17.0,83.0,9.0,75.0,0.0,96.0,4.0,16.0,255.0,0.2,4060.0,55.0,190.0,65.0,0.2,7.2,57.9,133.7,0.2,0.1,12.7,83.7,162.6,0.1,146.6,598.0,955.7,0.4,11.0,23.0,37.6,0.0,191.0,531.5,657.0,0.1,196.2,579.8,815.4,0.1,322.9,1414.0,1986.0,0.1,375.5,436.0,521.8,0.3,5.7,126.9,320.2,0.3,3.1,60.9,159.5,0.3,2.0,32.4,100.3,1.4,13.3,46.8,77.9,1.4,10.0,28.9,57.9,1.4,10.9,32.3,51.0,1.3,2.0,5.2,1.1,0.9,12.0,14.0,20.6,0.3,1.6,0.8,9.0,17.0,67.0,Burgwallen-Oude Zijde
BU03630003,Nes e.o.,WK036300,7360.0,370.0,205.0,165.0,6.0,17.0,51.0,20.0,7.0,77.0,15.0,6.0,2.0,5.0,245.0,61.0,29.0,10.0,1.5,38.0,11.0,1.0,0.0,1.0,2.0,8.0,0.0,10.0,90.0,25.0,30.0,50.0,15.0,55.0,275.0,263.0,0.0,9.0,91.0,73.0,30.0,70.0,5.0,65.0,0.0,98.0,2.0,27.0,85.0,0.3,1590.0,15.0,60.0,25.0,0.4,8.2,61.4,127.2,0.3,0.2,12.8,82.2,160.4,0.1,166.7,606.4,951.2,0.4,11.0,23.0,37.2,0.1,214.6,541.4,654.9,0.1,216.3,588.4,822.2,0.0,369.6,1453.0,1990.0,0.1,376.2,436.6,522.5,0.6,5.0,141.1,320.0,0.8,2.5,64.9,160.7,0.8,1.8,34.6,95.5,1.4,15.8,42.3,78.0,1.7,11.8,25.6,58.0,1.4,12.4,31.1,51.0,1.6,1.7,5.3,1.5,0.6,11.4,14.0,20.6,0.3,1.3,1.0,9.0,17.0,67.4,Burgwallen-Oude Zijde
BU03630004,BG-terrein e.o.,WK036300,8638.0,695.0,385.0,310.0,5.0,20.0,42.0,22.0,11.0,77.0,16.0,6.0,2.0,9.0,510.0,73.0,18.0,8.0,1.4,28.0,15.0,1.0,1.0,2.0,1.0,10.0,0.0,0.0,65.0,30.0,15.0,80.0,30.0,60.0,270.0,398.0,528.0,7.0,93.0,86.0,20.0,80.0,37.0,43.0,1.0,100.0,0.0,14.0,120.0,0.2,1429.0,15.0,95.0,30.0,0.3,7.3,62.7,131.4,0.4,0.2,12.8,85.7,162.6,0.1,156.2,623.0,954.7,0.4,11.1,23.0,36.5,0.1,217.2,542.6,657.5,0.1,200.5,595.7,825.9,0.1,367.7,1471.0,1999.0,0.1,378.8,437.6,522.5,0.6,5.2,140.8,324.3,0.6,3.2,67.5,161.8,0.6,2.1,34.8,97.9,1.5,17.5,44.5,78.0,1.7,12.7,27.1,58.0,1.5,13.6,31.0,51.0,1.5,1.8,5.1,1.4,0.6,12.0,14.0,20.2,0.2,1.4,0.8,9.0,17.0,67.2,Burgwallen-Oude Zijde
BU03630100,Stationsplein e.o.,WK036301,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,5.0,5.0,0.0,5.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999999.0,Burgwallen-Nieuwe Zijde
BU03630101,Hemelrijk,WK036301,9317.0,560.0,325.0,235.0,4.0,13.0,54.0,22.0,6.0,82.0,11.0,7.0,1.0,5.0,405.0,68.0,26.0,6.0,1.4,38.0,15.0,1.0,1.0,2.0,2.0,10.0,0.0,10.0,105.0,30.0,20.0,80.0,10.0,50.0,310.0,403.0,444.0,3.0,97.0,81.0,29.0,71.0,3.0,68.0,0.0,99.0,1.0,19.0,120.0,0.3,2168.0,15.0,80.0,40.0,0.3,8.9,45.6,119.9,0.8,0.3,8.4,66.5,153.4,0.1,164.2,494.4,915.1,0.4,11.0,21.3,39.1,0.1,161.2,480.9,644.5,0.0,181.7,497.0,794.1,0.0,320.3,1199.0,1918.0,0.0,374.8,432.2,521.1,0.5,4.3,100.0,288.9,0.5,1.7,49.2,142.7,0.6,1.6,28.9,89.8,0.6,7.5,38.0,77.0,0.6,4.6,23.7,57.0,0.6,6.5,28.1,51.0,1.6,1.4,5.9,1.3,1.1,11.1,14.0,21.0,0.3,1.1,1.7,9.0,18.0,67.5,Burgwallen-Nieuwe Zijde
BU03630102,Nieuwendijk Noord,WK036301,7517.0,450.0,260.0,195.0,3.0,17.0,55.0,20.0,4.0,82.0,13.0,4.0,1.0,16.0,340.0,72.0,22.0,6.0,1.3,41.0,24.0,0.0,1.0,2.0,1.0,20.0,0.0,5.0,130.0,25.0,25.0,50.0,10.0,40.0,275.0,339.0,469.0,7.0,93.0,77.0,15.0,85.0,10.0,75.0,0.0,97.0,3.0,23.0,65.0,0.2,1178.0,5.0,50.0,15.0,0.6,6.8,44.2,121.4,0.7,0.4,8.4,69.3,154.5,0.0,152.7,520.6,918.1,0.3,11.0,21.2,39.0,0.0,166.8,493.7,644.3,0.0,184.0,521.0,790.7,0.0,293.6,1247.0,1918.0,0.1,369.6,432.6,521.0,0.7,3.2,101.0,293.2,0.7,1.5,48.8,144.6,0.8,1.4,24.7,89.3,0.9,6.6,36.4,77.0,0.9,4.5,22.1,57.0,0.9,5.6,26.9,51.0,1.7,1.6,5.9,1.3,1.3,11.1,14.0,21.0,0.1,1.3,1.7,9.0,17.7,67.4,Burgwallen-Nieuwe Zijde
BU03630103,Spuistraat Noord,WK036301,16140.0,805.0,440.0,365.0,3.0,15.0,54.0,20.0,8.0,76.0,18.0,5.0,1.0,7.0,555.0,63.0,31.0,6.0,1.4,37.0,16.0,1.0,1.0,2.0,2.0,11.0,0.0,15.0,145.0,45.0,40.0,120.0,20.0,90.0,470.0,556.0,493.0,6.0,94.0,83.0,27.0,72.0,8.0,63.0,1.0,100.0,0.0,17.0,185.0,0.3,3676.0,20.0,120.0,65.0,0.3,9.7,49.7,122.8,0.6,0.4,9.5,71.7,155.1,0.0,167.3,552.1,924.0,0.6,11.0,23.0,39.0,0.1,157.1,513.1,646.9,0.1,187.1,550.9,799.1,0.0,314.0,1318.0,1949.0,0.1,374.9,432.4,521.0,0.6,4.7,112.8,299.5,0.7,2.1,55.4,144.3,0.6,1.6,32.0,89.3,0.9,8.9,39.6,77.6,0.9,6.5,24.4,57.6,0.9,7.9,30.3,51.0,1.4,1.3,6.0,1.5,1.3,11.0,14.0,21.0,0.3,0.9,1.7,9.0,18.0,68.0,Burgwallen-Nieuwe Zijde
BU03630104,Nieuwe Kerk e.o.,WK036301,9600.0,765.0,450.0,320.0,6.0,17.0,52.0,19.0,6.0,80.0,16.0,4.0,1.0,7.0,520.0,63.0,30.0,7.0,1.5,34.0,21.0,1.0,0.0,2.0,1.0,16.0,0.0,5.0,210.0,30.0,25.0,80.0,20.0,80.0,445.0,534.0,465.0,8.0,92.0,81.0,22.0,77.0,6.0,71.0,1.0,97.0,3.0,19.0,125.0,0.2,1484.0,30.0,90.0,35.0,0.6,8.5,50.4,123.6,0.5,0.4,9.3,74.3,155.5,0.0,158.7,553.1,923.7,0.3,11.0,22.9,38.4,0.0,173.1,518.4,646.9,0.0,190.4,553.5,797.1,0.0,307.3,1333.0,1948.0,0.0,372.0,434.1,521.0,0.7,3.9,114.1,301.2,0.9,1.1,54.0,146.7,1.0,0.7,25.7,86.0,1.1,7.6,37.4,77.4,1.1,5.4,22.7,57.4,1.1,6.8,28.0,51.0,1.5,1.6,5.9,1.5,1.1,11.1,14.0,21.0,0.3,1.2,1.6,9.0,17.2,67.6,Burgwallen-Nieuwe Zijde
BU03630105,Spuistraat Zuid,WK036301,12033.0,725.0,405.0,320.0,5.0,14.0,50.0,21.0,10.0,79.0,15.0,6.0,1.0,4.0,525.0,70.0,22.0,7.0,1.4,39.0,16.0,1.0,1.0,1.0,1.0,12.0,0.0,15.0,125.0,30.0,30.0,65.0,30.0,70.0,370.0,575.0,487.0,3.0,97.0,78.0,16.0,83.0,23.0,59.0,1.0,93.0,7.0,22.0,145.0,0.3,2464.0,20.0,115.0,30.0,0.1,8.8,63.0,126.1,0.2,0.2,10.6,82.0,156.9,0.1,177.5,634.5,938.0,0.5,11.3,22.8,38.0,0.0,185.9,548.7,648.7,0.1,210.5,605.8,818.7,0.0,351.6,1480.0,1986.0,0.1,380.1,437.9,521.8,0.4,5.6,152.1,316.6,0.8,2.0,70.1,157.1,0.8,1.9,39.4,97.1,1.0,14.1,44.0,78.2,1.4,10.5,28.9,58.0,1.0,11.7,32.6,51.2,1.3,1.4,5.7,1.7,0.8,11.0,14.0,21.0,0.3,1.0,1.5,9.0,17.4,68.0,Burgwallen-Nieuwe Zijde
BU03630106,Begijnhofbuurt,WK036301,5914.0,415.0,175.0,245.0,1.0,14.0,50.0,19.0,16.0,74.0,13.0,12.0,1.0,10.0,330.0,78.0,19.0,2.0,1.2,31.0,17.0,2.0,0.0,1.0,0.0,13.0,0.0,10.0,160.0,25.0,20.0,55.0,30.0,35.0,330.0,346.0,469.0,7.0,93.0,79.0,10.0,89.0,1.0,88.0,1.0,100.0,0.0,21.0,85.0,0.3,1189.0,10.0,60.0,20.0,0.3,8.4,62.2,126.5,0.3,0.2,11.4,82.5,157.7,0.1,172.3,621.8,941.1,0.4,11.4,23.0,37.7,0.1,202.8,544.5,648.9,0.1,213.4,598.0,820.7,0.0,369.5,1472.0,1985.0,0.1,378.1,437.7,522.3,0.6,4.9,148.8,318.2,0.9,1.6,68.8,157.9,0.9,1.5,37.7,96.4,1.1,16.0,43.6,78.1,1.6,11.8,27.9,58.0,1.1,12.6,32.2,51.1,1.4,1.5,5.6,1.7,0.7,11.0,14.0,21.0,0.5,1.1,1.3,9.0,17.2,67.7,Burgwallen-Nieuwe Zijde
BU03630107,Kalverdriehoek,WK036301,5920.0,295.0,170.0,125.0,3.0,22.0,51.0,17.0,6.0,80.0,15.0,5.0,0.0,10.0,205.0,65.0,29.0,6.0,1.4,38.0,21.0,1.0,2.0,1.0,2.0,16.0,0.0,5.0,125.0,15.0,10.0,35.0,10.0,15.0,215.0,219.0,605.0,4.0,96.0,71.0,22.0,77.0,5.0,72.0,0.0,98.0,2.0,29.0,50.0,0.2,934.0,5.0,35.0,15.0,0.4,5.6,62.6,127.8,0.6,0.3,10.6,85.5,160.3,0.0,128.5,623.5,946.1,0.4,11.6,23.0,36.4,0.1,170.2,537.4,649.9,0.0,162.1,590.6,824.2,0.0,311.2,1469.0,1990.0,0.1,378.6,438.0,522.5,0.9,3.2,142.2,321.7,1.0,1.2,65.8,159.9,1.0,0.9,33.9,95.9,1.2,19.3,42.3,78.4,1.9,13.0,26.3,58.0,1.2,15.3,30.9,51.4,1.7,1.6,5.3,1.9,0.4,11.0,14.0,20.2,0.7,1.2,1.2,9.0,17.0,67.6,Burgwallen-Nieuwe Zijde
BU03630200,Langestraat e.o.,WK036302,18690.0,1870.0,995.0,875.0,10.0,11.0,31.0,28.0,21.0,60.0,30.0,7.0,3.0,10.0,1145.0,58.0,27.0,15.0,1.6,33.0,9.0,0.0,0.0,1.0,1.0,6.0,0.0,30.0,90.0,75.0,100.0,280.0,80.0,130.0,785.0,1200.0,814.0,9.0,91.0,80.0,49.0,50.0,7.0,42.0,2.0,99.0,1.0,20.0,595.0,0.5,6111.0,50.0,455.0,140.0,0.2,10.6,45.9,119.4,0.7,0.4,8.2,63.2,151.7,0.2,141.4,503.4,909.6,0.8,10.5,20.5,40.0,0.2,102.0,481.7,639.6,0.2,128.2,505.6,792.1,0.1,257.5,1208.0,1915.0,0.2,375.2,429.3,522.0,0.3,5.9,101.4,285.9,0.5,2.8,51.9,136.2,0.3,2.0,31.0,87.5,0.5,7.9,36.8,77.0,0.5,4.9,23.3,57.0,0.5,6.9,28.1,51.0,1.4,1.0,6.2,1.4,0.9,11.0,13.7,21.0,0.4,0.8,2.1,9.0,18.2,67.6,Grachtengordel-West
BU03630201,Leliegracht e.o.,WK036302,12857.0,1800.0,905.0,895.0,6.0,20.0,35.0,25.0,15.0,70.0,24.0,5.0,2.0,9.0,1200.0,65.0,24.0,10.0,1.5,36.0,13.0,0.0,1.0,1.0,1.0,10.0,0.0,30.0,160.0,140.0,160.0,335.0,75.0,135.0,1040.0,1202.0,807.0,7.0,93.0,76.0,40.0,59.0,17.0,42.0,1.0,100.0,0.0,24.0,585.0,0.5,4308.0,60.0,440.0,145.0,0.2,12.2,56.3,123.1,0.5,0.4,10.5,71.9,153.7,0.1,161.9,579.2,922.9,0.9,10.6,21.8,39.4,0.1,120.6,522.5,644.6,0.1,151.8,562.1,803.4,0.1,283.9,1344.0,1948.0,0.2,378.0,432.1,521.9,0.4,7.6,116.8,298.4,0.6,4.5,58.4,142.6,0.4,3.3,32.9,90.6,0.7,9.5,39.4,77.7,0.7,6.6,24.6,57.7,0.7,8.5,30.3,51.0,1.0,0.9,6.3,1.4,1.1,11.0,14.0,21.0,0.3,0.5,1.9,9.0,17.4,68.2,Grachtengordel-West
BU03630202,Felix Meritisbuurt,WK036302,12638.0,2025.0,1075.0,945.0,6.0,11.0,39.0,28.0,16.0,64.0,27.0,7.0,2.0,10.0,1320.0,61.0,28.0,11.0,1.5,37.0,12.0,0.0,1.0,1.0,1.0,8.0,0.0,40.0,310.0,160.0,155.0,455.0,85.0,125.0,1340.0,1463.0,785.0,8.0,92.0,75.0,40.0,58.0,8.0,50.0,1.0,99.0,1.0,25.0,680.0,0.5,4220.0,50.0,495.0,185.0,0.3,11.3,66.7,126.3,0.4,0.2,10.5,82.9,158.3,0.1,152.1,644.4,941.5,0.7,11.6,22.1,38.5,0.1,145.7,557.8,648.8,0.1,175.1,610.5,821.3,0.1,321.6,1481.0,1987.0,0.1,384.6,439.2,522.2,0.2,8.3,156.3,319.6,0.5,3.1,69.4,158.3,0.5,3.3,39.3,97.6,0.8,13.0,43.3,78.2,1.3,9.6,28.3,57.9,0.8,10.7,32.7,51.2,0.9,1.2,5.9,1.4,0.9,11.0,14.0,21.0,0.4,0.7,1.7,9.0,17.2,68.7,Grachtengordel-West
BU03630300,Spiegelbuurt,WK036303,10000.0,800.0,450.0,350.0,9.0,12.0,40.0,26.0,13.0,65.0,27.0,6.0,2.0,11.0,480.0,55.0,29.0,16.0,1.7,38.0,17.0,0.0,1.0,1.0,1.0,14.0,0.0,5.0,130.0,50.0,90.0,195.0,30.0,50.0,560.0,597.0,837.0,10.0,90.0,70.0,42.0,57.0,7.0,50.0,1.0,99.0,1.0,30.0,270.0,0.6,3366.0,35.0,190.0,75.0,0.5,8.4,69.5,131.6,0.3,0.4,12.3,93.9,168.8,0.1,91.3,678.2,978.3,0.6,13.0,22.1,37.0,0.2,140.4,547.9,651.8,0.1,110.2,617.4,838.1,0.1,330.1,1568.0,2018.0,0.1,383.5,444.3,523.6,0.5,7.6,174.8,333.3,0.6,3.4,76.6,169.2,0.6,2.0,45.1,103.0,0.6,23.0,43.1,79.6,1.3,13.0,28.0,58.6,0.6,19.0,32.9,52.6,1.1,0.9,5.5,1.6,0.3,11.0,14.0,21.0,1.0,0.5,1.5,9.0,16.1,69.0,Grachtengordel-Zuid
BU03630301,Gouden Bocht,WK036303,2920.0,150.0,85.0,65.0,8.0,15.0,40.0,19.0,18.0,68.0,18.0,8.0,5.0,14.0,90.0,57.0,34.0,9.0,1.6,38.0,8.0,1.0,1.0,1.0,1.0,5.0,0.0,15.0,55.0,40.0,65.0,115.0,15.0,25.0,325.0,100.0,1122.0,10.0,90.0,74.0,43.0,54.0,0.0,54.0,3.0,93.0,7.0,26.0,95.0,1.0,2025.0,0.0,70.0,25.0,0.4,7.8,68.1,129.3,0.5,0.4,11.3,93.5,166.7,0.1,112.7,658.2,967.5,0.4,12.8,23.0,36.3,0.2,160.8,540.7,651.2,0.1,129.6,604.5,836.0,0.1,349.4,1520.0,2010.0,0.2,383.6,441.6,522.3,0.5,4.8,153.7,328.2,0.5,2.5,69.8,165.6,0.5,1.2,39.5,98.6,0.9,22.8,43.7,79.0,1.6,13.0,27.5,58.0,0.9,18.8,31.2,52.0,1.4,1.2,5.3,1.9,0.3,11.0,14.0,20.3,0.9,0.8,1.1,9.0,17.0,68.2,Grachtengordel-Zuid
BU03630302,Van Loonbuurt,WK036303,10823.0,1405.0,720.0,685.0,7.0,14.0,33.0,27.0,18.0,61.0,28.0,8.0,3.0,4.0,870.0,60.0,25.0,15.0,1.6,30.0,9.0,0.0,1.0,1.0,1.0,6.0,0.0,20.0,145.0,65.0,100.0,220.0,70.0,85.0,700.0,865.0,939.0,19.0,81.0,80.0,44.0,55.0,1.0,55.0,1.0,97.0,3.0,20.0,415.0,0.5,3188.0,55.0,320.0,95.0,0.3,6.7,73.3,129.4,0.3,0.2,10.2,96.9,167.2,0.1,87.8,676.0,967.4,0.7,13.0,22.8,35.4,0.2,129.1,545.0,650.5,0.1,98.3,611.2,835.2,0.1,311.5,1542.0,2006.0,0.2,385.2,442.7,519.9,0.3,5.8,156.4,326.3,0.3,3.9,69.2,165.4,0.3,2.3,42.1,98.3,0.7,24.1,44.2,79.3,1.4,14.0,27.9,58.3,0.7,19.5,30.9,52.3,1.2,1.0,5.0,1.7,0.5,11.0,14.0,19.5,1.2,0.7,1.2,8.8,16.6,68.6,Grachtengordel-Zuid
BU03630303,Amstelveldbuurt,WK036303,13927.0,1535.0,805.0,725.0,10.0,12.0,33.0,29.0,16.0,64.0,28.0,6.0,3.0,7.0,930.0,60.0,24.0,16.0,1.7,29.0,12.0,1.0,1.0,1.0,1.0,8.0,0.0,20.0,120.0,45.0,110.0,195.0,55.0,95.0,640.0,933.0,853.0,14.0,86.0,82.0,44.0,55.0,7.0,49.0,1.0,99.0,1.0,18.0,515.0,0.6,4662.0,60.0,390.0,125.0,0.3,5.5,73.2,125.5,0.2,0.3,10.1,100.4,161.2,0.1,66.0,671.3,951.1,0.8,12.3,23.0,33.1,0.1,79.9,532.8,651.7,0.2,62.7,610.1,829.3,0.1,199.3,1502.0,1992.0,0.1,380.2,439.9,514.3,0.2,6.7,143.6,316.3,0.5,4.4,64.2,161.2,0.5,2.0,39.0,93.0,1.2,23.7,44.0,79.2,1.5,13.8,27.2,58.5,1.2,18.7,30.7,52.2,1.7,1.4,4.6,1.7,0.6,11.1,14.0,19.0,1.3,0.9,1.0,8.0,17.0,68.0,Grachtengordel-Zuid
