"Buurten";"bevolking totaal|2018";"mannen (aantal)|2018";"vrouwen (aantal)|2018";"jeugd: 0 t/m 17 jarigen|2018";"jongeren: 18 t/m 26 jaar|2018";"volwassenen: 27 t/m 64 jaar|2018";"senioren: 65 jaar en ouder|2018";"woonruimten|2018";"zelfstandige woningen eigenaar-bewoner|2018";"zelfstandige woningen in corporatief bezit|2018";"gemiddeld huishoudensinkomen|2018";"percentage minimahuishoudens|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal fiets|2018";"aangiften diefstal auto|2018";"aangiften diefstal af/uit auto|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"0701 Hoornsemeer";4422;2149;2273;635;470;2132;1183;2616;963;861;37,4;12,7;13;9;0;1;2;13;7
"0702 Hoornsepark";719;364;355;138;33;329;219;297;229;0;63,7;1,7;2;2;0;0;0;2;1
"0703 Van Swieten";17;12;5;1;13;3;0;2;0;0;"";"";1;1;0;0;0;1;1
"0704 Piccardthof";1217;598;619;349;83;627;158;425;386;0;78,6;1,2;4;3;0;0;1;4;2
"0705 Bruilwering";40;26;14;6;1;23;10;1;1;0;"";"";1;1;0;0;0;1;1
"0800 Hoogkerk Dorp";1862;949;913;357;201;930;374;862;358;392;32,4;19,3;3;2;0;0;1;22;10
"0801 Hoogkerk-Zuid";5466;2659;2807;1202;456;2667;1141;2440;1421;692;36,8;11,0;12;2;1;2;1;16;7
"0802 Westpoort";10;6;4;3;0;5;2;3;0;0;"";"";0;0;0;0;0;0;0
"0803 Vierverlaten";138;64;74;27;13;82;16;59;40;0;"-";"";0;0;0;0;1;0;0
"0804 Zuidwending";45;26;19;11;3;19;12;17;11;0;"";"";0;0;0;0;0;0;0
"0805 Leegkerk";78;44;34;15;7;43;13;28;23;0;"";"";1;0;0;0;0;1;0
"0806 Gravenburg";2296;1153;1143;827;141;1225;102;703;575;70;60,0;2,8;8;2;0;1;0;6;2
"0807 Suikerfabriekterrein";5;4;1;0;0;5;0;0;"";"";"";"";0;0;0;0;0;0;0
"0808 Peizerweg";26;12;14;4;6;8;8;11;2;1;"";"";0;0;1;7;1;2;0
"0809 Bangeweer";276;140;136;53;26;151;46;98;79;0;39,6;8,7;4;0;1;0;0;2;1
"0810 De Buitenhof";1604;780;824;513;88;862;141;548;476;40;63,8;0,9;7;2;0;1;0;6;2
"0811 Kranenburg";3;2;1;0;0;2;1;3;1;0;"";"";0;0;0;0;0;0;0
"0812 De Kring";331;159;172;87;33;167;44;57;4;51;25,2;56,7;1;0;0;0;0;1;0
"0900 Vinkhuizen-Noord";6119;3152;2967;745;1991;2377;1002;2743;763;1706;28,8;20,2;17;20;1;5;3;30;14
"0901 Vinkhuizen-Zuid";4861;2228;2633;1007;580;2122;1147;2328;503;1438;29,2;27,2;12;11;1;5;4;51;26
"0902 Hoendiep";130;79;51;16;17;86;11;43;29;0;"-";"";1;5;0;1;8;9;5
"0903 Friesestraatweg";42;27;15;3;17;18;4;19;7;0;"";"";0;0;0;0;1;1;0
"0904 Reitdiep";2685;1383;1302;902;138;1497;147;934;772;29;61,6;2,2;7;7;0;3;2;18;15
