buurt_number,dogs_amount,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,mannen_perc,vrouwen_perc,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,perc_jeugd_0_17_jaar,perc_jongeren_18_26_jaar,perc_volwassenen_27_64_jaar,perc_senioren_65_jaar_en_ouder,woonruimten,percentage_woonruimten,perc_zelfstandige_woningen_eigenaar-bewoner,perc_zelfstandige_woningen_in_corporatief_bezit,perc_zelfstandige_woningen_overig_incl_onbekend,gemiddeld_huishoudensinkomen,koopkracht_van_huishoudens,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_af_uit_woning_relatief,aangiften_diefstal_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_diefstal_fiets,aangiften_diefstal_af_uit_auto,aangiften_van_mishandeling,aangiften_van_vernieling,aangiften_mishandeling_relatief,buurt_name
0203,74,181,9.8,2246.0,1144.0,1102.0,50.9,49.1,190.0,701.0,1118.0,234.0,8.5,31.2,49.8,10.4,1319.0,87.7,30.3,53.8,15.9,28.1,76.1,26.6,7.0,5.3,0.0,4.0,6.0,2.0,6.0,9.0,2.7,Kostverloren
0300,165,516,16.0,4020.0,2088.0,1932.0,51.9,48.1,657.0,897.0,2216.0,242.0,16.3,22.3,55.1,6.0,2352.0,95.5,11.1,72.5,16.5,25.3,68.4,33.4,11.0,4.7,0.0,2.0,36.0,11.0,24.0,30.0,6.0,De Hoogte
0301,241,913,13.2,8440.0,4279.0,4161.0,50.7,49.3,1021.0,2813.0,3958.0,640.0,12.1,33.3,46.9,7.6,4671.0,96.8,23.4,60.5,16.1,25.6,69.8,31.7,24.0,5.1,1.0,5.0,93.0,15.0,24.0,37.0,2.8,Indische buurt
0302,103,153,2.8,6149.0,2913.0,3236.0,47.4,52.6,500.0,2929.0,2394.0,324.0,8.1,47.6,38.9,5.3,3005.0,92.8,47.0,18.2,34.9,33.0,87.0,13.7,21.0,7.0,2.0,2.0,98.0,13.0,17.0,23.0,2.8,Professorenbuurt
0400,112,256,6.2,4925.0,2386.0,2539.0,48.4,51.6,405.0,1949.0,2164.0,403.0,8.2,39.6,43.9,8.2,2734.0,96.2,35.4,32.8,31.8,30.7,83.1,19.6,8.0,2.9,0.0,4.0,146.0,10.0,18.0,32.0,3.7,Gorechtbuurt
0401,97,273,16.4,2309.0,1154.0,1155.0,50.0,50.0,434.0,322.0,1289.0,261.0,18.8,13.9,55.8,11.3,1366.0,95.2,8.6,77.8,13.5,26.0,68.4,37.7,7.0,5.1,1.0,0.0,18.0,11.0,15.0,17.0,6.5,Vogelbuurt
0402,173,380,16.5,2893.0,1423.0,1470.0,49.2,50.8,458.0,520.0,1720.0,195.0,15.8,18.0,59.5,6.7,1815.0,98.9,21.7,65.6,12.8,24.9,69.1,34.6,7.0,3.9,0.0,1.0,10.0,3.0,11.0,12.0,3.8,Bloemenbuurt
0403,38,97,10.1,1190.0,604.0,586.0,50.8,49.2,153.0,272.0,665.0,100.0,12.9,22.9,55.9,8.4,705.0,93.4,45.0,33.3,21.7,30.6,81.4,21.7,5.0,7.1,0.0,0.0,7.0,3.0,4.0,9.0,3.4,Florabuurt
0404,9,47,6.6,812.0,435.0,377.0,53.6,46.4,44.0,319.0,386.0,63.0,5.4,39.3,47.5,7.8,440.0,73.8,20.7,34.8,44.5,30.0,82.4,14.5,2.0,4.5,0.0,2.0,8.0,0.0,2.0,9.0,2.5,Damsterbuurt
0500,32,0,0.0,860.0,448.0,412.0,52.1,47.9,231.0,83.0,507.0,39.0,26.9,9.7,59.0,4.5,371.0,97.9,41.0,50.4,8.6,57.7,130.9,7.1,2.0,5.4,1.0,3.0,9.0,7.0,3.0,6.0,3.5,De Linie
