dogs_amount,buurtcode,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,woonruimten,zelfstandige_woningen_eigenaar-bewoner,zelfstandige_woningen_in_corporatief_bezit,gemiddeld_huishoudensinkomen,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_fiets,aangiften_diefstal_auto,aangiften_diefstal_af_uit_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_van_vernieling,aangiften_van_mishandeling,buurt_name,politie_report_aantal
9,BU000404,47,6.6,812.0,435.0,377.0,44.0,319.0,386.0,63.0,440.0,91.0,153.0,30.0,14.5,2.0,8.0,0.0,0.0,2.0,9.0,2.0,Damsterbuurt,23.0
32,BU000500,0,0.0,860.0,448.0,412.0,231.0,83.0,507.0,39.0,371.0,152.0,187.0,57.7,7.1,2.0,9.0,1.0,7.0,3.0,6.0,3.0,De Linie,31.0
10,BU000501,0,0.0,453.0,260.0,193.0,28.0,139.0,223.0,63.0,313.0,114.0,132.0,43.9,7.4,1.0,5.0,0.0,4.0,2.0,3.0,2.0,Europapark,17.0
1,BU000502,0,0.0,67.0,46.0,21.0,2.0,20.0,44.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Eemskanaal,3.0
10,BU000503,0,0.0,658.0,347.0,311.0,68.0,156.0,380.0,54.0,391.0,185.0,74.0,51.8,3.2,1.0,4.0,0.0,3.0,1.0,2.0,1.0,Kop van Oost,12.0
7,BU000504,0,0.0,141.0,91.0,50.0,18.0,33.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Woonschepenhaven,2.0
2,BU000506,0,0.0,27.0,14.0,13.0,8.0,1.0,12.0,6.0,11.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,Eemspoort,17.0
3,BU000507,0,0.0,48.0,30.0,18.0,9.0,7.0,24.0,8.0,7.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,6.0,2.0,Euvelgunne,19.0
3,BU000508,14,28.6,53.0,40.0,13.0,2.0,3.0,46.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winschoterdiep,0.0
3,BU000510,0,0.0,25.0,12.0,13.0,3.0,3.0,15.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Roodehaan,1.0
8,BU000600,0,0.0,390.0,299.0,91.0,34.0,24.0,304.0,28.0,62.0,52.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,Sterrebosbuurt,7.0
87,BU000601,38,2.0,3080.0,1460.0,1620.0,515.0,356.0,1461.0,748.0,1701.0,1062.0,220.0,42.8,6.2,6.0,6.0,0.0,2.0,1.0,10.0,2.0,Coendersborg,27.0
